排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,AI制药,BK1170,1148.65,114.21,11.04,164979968000,7.46,16,0,塞力医疗,9.98
2,DRG/DIP,BK1054,1156.38,107.49,10.25,198279573000,15.48,19,0,塞力医疗,9.98
3,国资云概念,BK1008,1586.89,83.76,5.57,418991328000,11.5,17,2,深桑达Ａ,10.0
4,SPD概念,BK1147,959.63,44.49,4.86,73804202000,5.09,10,1,塞力医疗,9.98
5,MLOps概念,BK1132,1204.88,53.65,4.66,206653298000,10.75,9,1,星环科技-U,14.96
6,VPN,BK0885,1359.51,58.3,4.48,364470656000,12.43,17,4,深信服,20.0
7,互联医疗,BK0837,1028.06,43.24,4.39,5142444032000,4.71,94,6,塞力医疗,9.98
8,CRO,BK0899,1330.18,55.26,4.33,517916640000,3.97,36,2,泓博医药,20.01
9,智慧政务,BK0886,1431.51,58.75,4.28,703983584000,12.12,73,6,南威软件,9.99
10,数据确权,BK1118,1720.92,67.45,4.08,323903328000,12.84,28,4,南威软件,9.99
11,CAR-T细胞疗法,BK0986,941.86,36.1,3.99,430261040000,4.43,22,1,迪安诊断,18.95
12,体外诊断,BK0841,1229.78,47.05,3.98,975453984000,3.38,56,9,达安基因,10.07
13,财税数字化,BK1176,1793.23,67.49,3.91,570887312000,10.28,38,3,宏景科技,19.99
14,精准医疗,BK0806,972.44,36.56,3.91,599643424000,3.56,40,5,达安基因,10.07
15,数字哨兵,BK1084,1500.47,56.08,3.88,94993663000,8.91,11,1,盛视科技,10.0
16,基因测序,BK0693,1857.02,68.72,3.84,555912576000,6.2,45,6,达安基因,10.07
17,远程办公,BK0912,1642.26,60.37,3.82,864930800000,9.36,31,8,梦网科技,10.01
18,信创,BK1104,1906.56,69.79,3.8,3909660784000,10.44,207,34,威派格,10.0
19,东数西算,BK1064,1761.64,63.51,3.74,1190520720000,7.53,45,13,华扬联众,10.02
20,血氧仪,BK1122,959.16,33.87,3.66,137383087000,3.72,12,1,中科美菱,9.44
21,数据要素,BK1135,1212.45,42.01,3.59,1944446128000,9.02,106,23,美年健康,9.98
22,数据安全,BK1047,1081.57,36.87,3.53,1073022128000,7.27,66,13,南威软件,9.99
23,痘病毒防治,BK1085,779.68,26.26,3.49,643444624000,3.61,53,3,达安基因,10.07
24,网络安全,BK0655,4617.4,152.58,3.42,5188617984000,7.68,114,22,南威软件,9.99
25,ERP概念,BK1133,1358.49,44.09,3.35,293702480000,10.04,13,4,致远互联,13.43
26,辅助生殖,BK0939,975.96,31.42,3.33,525254384000,3.62,48,2,达安基因,10.07
27,云计算,BK0579,3245.49,103.85,3.31,8559201536000,7.06,183,49,梦网科技,10.01
