排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,智谱AI,BK1182,1321.31,37.24,2.9,466541792000,16.92,22,13,威派格,10.0
2,昨日连板_含一字,BK1051,2957.82,80.77,2.81,359579152000,14.32,15,8,杭钢股份,9.99
3,昨日连板,BK0816,28.97,0.77,2.73,172156474000,14.2,8,5,威派格,10.0
4,短剧互动游戏,BK1151,1289.65,31.03,2.47,391848128000,12.12,16,11,天威视讯,9.98
5,影视概念,BK0847,928.2,22.05,2.43,663658944000,6.49,36,26,欢瑞世纪,10.08
6,昨日涨停_含一字,BK1050,147584.13,3377.65,2.34,1512883856000,12.68,60,34,杭齿前进,10.0
7,猪肉概念,BK0882,1169.46,25.45,2.22,848565808000,3.04,31,6,正虹科技,10.06
8,鸡肉概念,BK0887,715.95,14.1,2.01,354742192000,2.07,19,1,巨星农牧,10.01
9,VPN,BK0885,1301.21,23.02,1.8,345097744000,9.31,11,10,宁波建工,10.06
10,昨日涨停,BK0815,584.18,10.09,1.76,1380060832000,12.48,50,33,杭齿前进,10.0
11,白酒,BK0896,2097.6,34.55,1.67,3506555040000,1.69,35,11,岩石股份,9.96
12,抖音小店,BK0928,1184.85,18.12,1.55,262285260000,6.11,15,12,华扬联众,10.0
13,中超概念,BK0635,2167.11,29.53,1.38,213556707000,1.38,5,3,华夏幸福,10.12
14,AI语料,BK1172,1072.21,14.42,1.36,405123344000,13.86,12,13,福石控股,19.94
15,阿兹海默,BK0894,1653.29,21.04,1.29,140683885000,4.29,8,6,双成药业,10.0
16,在线旅游,BK0692,1598.07,19.25,1.22,226522473000,4.21,16,10,华策影视,11.89
17,Sora概念,BK1159,1728.27,20.05,1.17,409013104000,14.63,20,20,福石控股,19.94
18,麒麟电池,BK1092,1202.7,13.72,1.15,1250779824000,4.16,4,5,瑞泰新材,20.0
19,快手概念,BK0972,1761.29,18.5,1.06,318918368000,16.68,20,12,浙文互联,10.05
20,ChatGPT概念,BK1126,2141.85,17.45,0.82,2199570592000,8.08,32,46,威派格,10.0
21,小红书概念,BK1187,1168.08,9.28,0.8,502955872000,14.11,30,29,华扬联众,10.0
22,手游概念,BK0642,1270.25,10.08,0.8,828935120000,7.16,23,25,华谊兄弟,19.86
23,DeepSeek概念,BK1188,1287.78,9.88,0.77,2091605904000,9.53,41,56,杭钢股份,9.99
24,Web3.0,BK1110,1857.59,13.25,0.72,517116864000,11.29,22,25,华扬联众,10.0
25,东数西算,BK1064,1698.13,11.9,0.71,1145183824000,7.41,25,34,华扬联众,10.0
26,社区团购,BK0965,882.34,6.02,0.69,592378816000,5.25,19,19,东方集团,10.23
27,虚拟数字人,BK1055,1302.46,8.45,0.65,3514569168000,11.69,40,41,华扬联众,10.0
28,谷子经济,BK1183,1099.2,7.08,0.65,566661680000,10.44,26,32,光线传媒,19.98
29,赛马概念,BK0709,701.98,4.35,0.62,18985439000,3.98,2,1,新 华 都,2.17
30,阿里概念,BK0689,2469.71,14.84,0.6,3095627216000,4.3,53,59,杭钢股份,9.99
31,RCS概念,BK0919,1444.73,8.46,0.59,226024482000,6.8,10,12,华扬联众,10.0
32,钠离子电池,BK0988,1233.48,7.15,0.58,1916473888000,2.31,19,29,瑞泰新材,20.0
33,网络游戏,BK0509,12460.59,68.66,0.55,1066007760000,8.2,31,39,光线传媒,19.98
34,MLOps概念,BK1132,1151.23,5.81,0.51,202459778000,8.74,4,6,宇信科技,14.69
35,低价股,BK1053,991.18,4.95,0.5,1930979392000,2.05,83,98,东方集团,10.23
36,AIGC概念,BK1111,2081.14,10.05,0.49,2087953600000,10.88,46,65,浙文互联,10.05
37,数据安全,BK1047,1044.7,4.94,0.48,1029268992000,5.5,30,49,南威软件,10.0
38,Kimi概念,BK1169,1227.23,5.71,0.47,565318896000,13.57,12,13,浙文互联,10.05
39,网红直播,BK0940,691.03,3.19,0.46,1763208544000,8.07,62,66,华扬联众,10.0
40,算力概念,BK1134,1571.06,6.91,0.44,6606320640000,6.02,57,82,航锦科技,10.0
41,云游戏,BK0903,1257.83,5.49,0.44,338315920000,5.71,12,13,优刻得-W,10.87
42,环氧丙烷,BK1011,540.39,2.23,0.41,332145136000,1.38,5,10,航锦科技,10.0
43,智能电视,BK0656,1227.58,4.75,0.39,309465600000,6.78,6,8,四川长虹,10.03
44,蚂蚁概念,BK0937,741.25,2.86,0.39,4993008128000,1.34,25,31,南威软件,10.0
45,PPP模式,BK0721,678.18,2.51,0.37,2267273776000,1.93,62,85,中设股份,9.98
46,京东金融,BK0849,1474.75,4.78,0.33,235355522000,1.31,4,6,任子行,6.29
47,REITs概念,BK0992,815.02,2.54,0.31,850670096000,2.31,10,10,电子城,9.98
48,首发经济,BK1186,961.66,2.96,0.31,312152560000,9.15,17,22,锦和商管,9.93
49,超级品牌,BK0811,2328.36,6.72,0.29,8654935808000,1.81,19,12,泸州老窖,3.85
50,抖音概念(字节概念),BK0923,1467.08,4.22,0.29,874153744000,12.41,36,41,华扬联众,10.0
51,装配建筑,BK0945,939.93,2.47,0.26,1446784864000,2.2,41,47,宁波建工,10.06
52,土地流转,BK0632,1572.52,3.96,0.25,450872400000,2.39,20,27,杭钢股份,9.99
53,空间计算,BK1143,1255.17,3.15,0.25,149481621000,8.73,8,15,宏景科技,20.0
54,新零售,BK0825,941.41,2.29,0.24,2553847760000,3.51,61,76,华扬联众,10.0
55,预制菜概念,BK1025,1033.72,2.31,0.22,645556016000,4.12,33,23,供销大集,6.91
56,低碳冶金,BK0979,897.55,1.92,0.21,301209824000,0.49,5,1,酒钢宏兴,1.31
57,乳业,BK0892,973.02,2.01,0.21,436731504000,1.82,13,16,一鸣食品,4.63
58,粮食概念,BK1086,781.31,1.54,0.2,207147923000,3.71,10,14,东方集团,10.23
