排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,ERP概念,BK1133,1347.33,56.56,4.38,284939680000,11.2,17,0,宝信软件,9.99
2,昨日连板_含一字,BK1051,2877.05,111.96,4.05,400398816000,12.22,19,12,梦网科技,10.02
3,汽车芯片,BK0969,1164.39,41.98,3.74,1272507184000,4.47,53,2,利扬芯片,20.0
4,培育钻石,BK1023,1136.11,40.02,3.65,138706194000,4.1,12,2,黄河旋风,10.07
5,国资云概念,BK1008,1500.95,52.44,3.62,395546544000,6.07,18,0,数据港,9.99
6,VPN,BK0885,1278.19,44.6,3.62,344403568000,9.15,20,1,安博通,20.0
7,液冷概念,BK1138,1170.24,38.68,3.42,1160830416000,6.55,54,6,数据港,9.99
8,DeepSeek概念,BK1188,1277.9,41.33,3.34,2054339488000,9.52,72,16,梦网科技,10.02
9,AI手机,BK1162,1518.76,49.09,3.34,899005104000,6.89,30,4,唯捷创芯,19.99
10,WiFi,BK0915,1223.94,38.2,3.22,570110464000,2.92,24,3,唯捷创芯,19.99
11,刀片电池,BK0951,2131.32,66.19,3.21,1132971040000,4.43,12,1,鹏辉能源,9.92
12,AI智能体,BK0809,1167.74,35.27,3.11,551883952000,14.2,28,8,视觉中国,10.02
13,数据确权,BK1118,1655.69,49.45,3.08,312191536000,9.23,30,3,浙数文化,10.03
14,麒麟电池,BK1092,1188.98,35.25,3.06,1223519696000,3.1,9,0,凌云股份,6.6
15,东数西算,BK1064,1686.23,49.87,3.05,1160518240000,5.73,47,10,润建股份,10.0
16,Chiplet概念,BK1101,1536.17,45.35,3.04,707770560000,5.18,27,1,利扬芯片,20.0
17,中芯概念,BK0935,1287.32,37.0,2.96,2479139296000,3.37,60,2,浙江东方,9.99
18,发电机概念,BK1014,1297.08,36.94,2.93,138101972000,5.43,17,4,泰豪科技,10.02
19,跨境支付,BK1071,1635.42,44.39,2.79,11593174784000,0.44,47,2,石基信息,10.03
20,数字水印,BK1129,1113.61,30.18,2.79,118566082000,9.19,13,4,吉大正元,10.02
21,eSIM,BK0956,1711.57,45.73,2.75,331828640000,2.46,8,2,美格智能,10.0
22,租售同权,BK0822,748.84,19.86,2.72,430132192000,2.99,15,3,万  科Ａ,9.94
23,数据中心,BK0922,1698.65,44.87,2.71,6383759616000,5.06,166,34,梦网科技,10.02
24,氮化镓,BK0916,1290.03,33.67,2.68,967719760000,4.54,45,3,中恒电气,10.02
25,荣耀概念,BK1177,1631.63,42.43,2.67,1083085024000,2.58,44,6,慧智微-U,20.04
26,Kimi概念,BK1169,1221.52,30.6,2.57,570576800000,13.91,20,5,浙文互联,10.03
27,算力概念,BK1134,1564.15,38.43,2.52,6672133888000,5.9,113,26,润建股份,10.0
28,云计算,BK0579,3142.59,77.05,2.51,8432639232000,5.48,196,35,梦网科技,10.02
29,无线耳机,BK0893,2004.77,48.98,2.5,2461485088000,6.1,74,10,捷荣技术,10.02
30,边缘计算,BK0860,2073.64,50.65,2.5,3023819632000,6.49,102,22,润建股份,10.0
31,百度概念,BK0845,1788.36,43.52,2.49,2756664448000,7.92,112,31,润建股份,10.0
32,智谱AI,BK1182,1284.07,31.2,2.49,446486624000,11.92,25,9,梦网科技,10.02
33,昨日涨停_含一字,BK1050,144206.48,3495.21,2.48,715071584000,12.45,46,38,梦网科技,10.02
34,阿里概念,BK0689,2454.87,59.29,2.47,3095735472000,3.22,86,25,梦网科技,10.02
35,传感器,BK0905,1643.45,39.68,2.47,1517510864000,4.34,80,15,雅达股份,29.94
36,财税数字化,BK1176,1735.77,41.45,2.45,557003008000,9.62,35,6,金财互联,10.0
37,英伟达概念,BK1161,1439.67,34.14,2.43,1403926096000,4.9,43,5,润建股份,10.0
38,信创,BK1104,1847.93,43.82,2.43,3845810784000,8.66,207,32,润建股份,10.0
39,第三代半导体,BK0952,1364.76,32.24,2.42,1742343392000,5.41,100,9,中恒电气,10.02
40,华为欧拉,BK1013,1776.79,41.76,2.41,343825024000,11.59,15,2,拓维信息,10.0
41,电子身份证,BK1075,1268.2,29.67,2.4,351714240000,8.13,34,1,东方集团,10.26
42,鸿蒙概念,BK0953,1578.1,36.92,2.4,2254443104000,7.33,97,12,梦网科技,10.02
43,区块链,BK0830,1085.62,25.13,2.37,8478081536000,2.62,185,42,梦网科技,10.02
44,AI芯片,BK1127,1400.75,32.42,2.37,1287950016000,5.64,20,6,安博通,20.0
45,科创板做市股,BK1108,945.39,21.86,2.37,1931364496000,1.28,38,6,福立旺,13.04
46,REITs概念,BK0992,812.48,18.63,2.35,851414064000,1.96,19,3,万  科Ａ,9.94
47,IGBT概念,BK1048,800.2,18.32,2.34,2102493984000,3.74,32,6,捷捷微电,9.81
48,DRG/DIP,BK1054,1059.79,24.2,2.34,180853920000,9.73,18,0,卫宁健康,8.5
49,固态电池,BK0968,1560.73,35.13,2.3,4823618048000,2.76,150,15,浙数文化,10.03
50,虚拟电厂,BK0958,1765.52,39.48,2.29,613957120000,2.31,45,6,润建股份,10.0
51,智能电视,BK0656,1222.83,27.24,2.28,308130992000,5.29,10,3,华数传媒,10.04
52,石墨烯,BK0617,1931.51,42.74,2.26,833971056000,2.61,53,12,康盛股份,9.94
53,国产软件,BK0696,3381.22,74.29,2.25,3388899920000,7.4,197,32,浙大网新,10.05
54,半导体概念,BK0917,1616.1,35.5,2.25,8019958016000,3.29,305,29,韦尔股份,10.0
