,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
161,162,国产软件,BK0696,3115.87,91.73,3.03,3151574512000,6.58,213,19,新炬网络,10.0
162,163,培育钻石,BK1023,1060.2,31.13,3.03,132848695000,2.35,12,2,惠丰钻石,10.16
163,164,网络安全,BK0655,4132.7,121.24,3.02,4857111808000,6.49,128,7,安恒信息,19.99
164,165,军民融合,BK0808,1449.18,42.42,3.02,2925593648000,2.86,174,7,航锦科技,10.02
165,166,尾气治理,BK0932,1289.48,37.7,3.01,223725798000,2.63,34,0,有研新材,10.01
166,167,3D打印,BK0619,5020.96,146.39,3.0,585396928000,4.21,60,5,冀凯股份,10.01
167,168,电子身份证,BK1075,1188.62,34.6,3.0,329681840000,7.38,34,0,精伦电子,10.1
168,169,军工,BK0490,57036.38,1652.85,2.98,5843519744000,3.09,474,23,航锦科技,10.02
169,170,植物照明,BK1007,961.87,27.57,2.95,158545751000,3.59,18,0,朗科智能,5.63
170,171,深圳特区,BK0549,30070.73,860.88,2.95,9228148224000,2.23,311,28,美格智能,10.01
171,172,汽车拆解,BK0943,984.44,28.15,2.94,258032332000,1.18,17,1,杭钢股份,9.97
172,173,2025规划,BK0713,908.52,25.9,2.93,3846161360000,2.05,70,9,创维数字,10.03
173,174,大数据,BK0634,4575.0,130.18,2.93,4974062592000,4.78,282,23,每日互动,19.99
174,175,数字货币,BK0883,1692.93,48.15,2.93,812905840000,4.4,74,3,梦网科技,9.97
175,176,可控核聚变,BK1163,1162.59,32.99,2.92,383804256000,2.57,22,0,炬光科技,6.82
176,177,广电,BK0904,1431.05,40.5,2.91,243156514000,3.12,26,2,亿通科技,19.98
177,178,共享经济,BK0807,771.33,21.82,2.91,228725177000,2.07,18,1,移为通信,10.84
178,179,通用航空,BK0625,5357.67,151.5,2.91,1072400160000,1.74,40,1,日发精机,9.93
179,180,空间计算,BK1143,1154.24,32.6,2.91,133988387000,5.66,22,1,每日互动,19.99
180,181,ERP概念,BK1133,1219.43,34.34,2.9,247901964000,9.18,14,3,光云科技,14.61
181,182,首发经济,BK1186,904.35,25.33,2.88,293460848000,7.14,38,0,天娱数科,9.99
182,183,高送转,BK0723,3474.44,97.17,2.88,3378860352000,3.68,194,19,宇瞳光学,19.99
183,184,AI制药,BK1170,939.74,25.97,2.84,137381499000,2.32,16,0,泓博医药,8.41
184,185,股权激励,BK0567,2746.25,75.63,2.83,4462012416000,3.0,188,14,美格智能,10.01
185,186,AIGC概念,BK1111,1899.42,52.3,2.83,1976874400000,9.03,100,11,天娱数科,9.99
186,187,数字孪生,BK0861,1346.43,37.0,2.83,957636912000,3.0,75,4,中海达,12.08
187,188,数据中心,BK0922,1562.03,42.88,2.82,6033000448000,4.55,181,17,航锦科技,10.02
188,189,生物识别,BK0970,1456.89,39.94,2.82,1075719488000,3.86,44,4,高新兴,8.52
189,190,科创板做市股,BK1108,904.52,24.66,2.8,1896140816000,1.3,37,7,中控技术,10.51
190,191,区块链,BK0830,1004.05,27.35,2.8,8086239488000,2.39,214,15,浙数文化,9.97
191,192,锂电池,BK0574,2757.93,74.78,2.79,7411106048000,2.3,357,23,天奇股份,9.99
192,193,创业板综,BK0742,1379.81,37.31,2.78,12843556864000,4.86,1272,82,每日互动,19.99
193,194,航母概念,BK0715,811.26,21.88,2.77,1144630768000,0.96,33,2,普利特,7.49
194,195,充电桩,BK0700,2201.62,58.46,2.73,3976289760000,2.84,217,9,祥鑫科技,10.01
195,196,钙钛矿电池,BK1094,714.32,18.96,2.73,587776960000,1.52,31,0,曼恩斯特,8.7
196,197,小红书概念,BK1187,1087.43,28.57,2.7,462401648000,11.96,53,5,每日互动,19.99
197,198,昨日触板,BK0817,194.92,5.08,2.68,579182912000,8.66,30,7,信质集团,10.0
198,199,电子纸概念,BK1057,1082.47,28.04,2.66,369836480000,1.62,14,0,深天马Ａ,5.56
199,200,抖音小店,BK0928,1097.98,28.42,2.66,235695089000,2.66,24,3,斯莱克,19.98
200,201,环氧丙烷,BK1011,517.42,13.23,2.62,305365360000,1.03,13,2,航锦科技,10.02
201,202,Kimi概念,BK1169,1145.48,29.27,2.62,542388480000,13.27,20,5,天娱数科,9.99
202,203,发电机概念,BK1014,1204.09,30.7,2.62,126712570000,4.17,20,1,通达动力,10.0
203,204,大飞机,BK0814,1275.99,32.49,2.61,1685810112000,2.08,93,7,日发精机,9.93
204,205,融资融券,BK0596,2270.46,57.8,2.61,90219114496000,1.48,3275,324,航锦科技,10.02
205,206,超导概念,BK0679,3711.77,94.27,2.61,227178592000,4.56,15,0,辰光医疗,5.0
206,207,储能,BK0989,1630.05,41.33,2.6,7626510336000,2.0,301,20,祥鑫科技,10.01
207,208,独角兽,BK0835,1652.08,41.46,2.57,5010870272000,3.62,116,6,华金资本,10.01
208,209,阿里概念,BK0689,2257.39,56.55,2.57,2926393200000,2.87,101,10,杭钢股份,9.97
209,210,商汤概念,BK0942,1173.3,29.35,2.57,516926176000,3.77,13,0,瑞芯微,10.0
210,211,石墨烯,BK0617,1841.46,45.77,2.55,807993376000,2.09,66,3,东方材料,9.98
211,212,换电概念,BK0985,1271.84,31.6,2.55,817240000000,2.25,44,3,爱仕达,10.02
212,213,深股通,BK0804,968.75,23.92,2.53,29115230208000,2.74,1214,134,航锦科技,10.02
213,214,盲盒经济,BK0954,1193.61,29.45,2.53,117445560000,7.26,10,1,顺网科技,7.22
214,215,基金重仓,BK0536,9762.51,239.51,2.52,6994497792000,1.9,60,15,德科立,13.35
215,216,磁悬浮概念,BK0975,1602.29,39.22,2.51,714851472000,1.6,28,1,正海磁材,10.14
216,217,纾困概念,BK0851,1520.59,36.99,2.49,410587344000,3.49,47,2,梦网科技,9.97
217,218,TOPCon电池,BK1097,693.48,16.84,2.49,576648832000,1.74,39,1,海目星,7.41
218,219,影视概念,BK0847,844.29,20.41,2.48,572509616000,3.59,54,6,金逸影视,10.07
219,220,智慧灯杆,BK1069,1338.51,32.02,2.45,125413769000,4.3,22,2,格利尔,6.56
220,221,CRO,BK0899,1230.15,29.26,2.44,491966432000,2.31,39,0,毕得医药,12.4
221,222,核污染防治,BK0983,1163.48,27.67,2.44,372443616000,1.06,30,0,普利特,7.49
222,223,新材料,BK0523,23752.08,562.45,2.43,3990089216000,2.46,321,20,领益智造,10.02
223,224,智慧政务,BK0886,1262.99,29.78,2.41,618852960000,8.75,68,8,拓维信息,10.02
224,225,太阳能,BK0588,2912.64,68.39,2.4,7402721024000,1.64,376,20,大业股份,9.97
225,226,AI语料,BK1172,1005.66,23.6,2.4,355422144000,13.43,22,3,天娱数科,9.99
226,227,CAR-T细胞疗法,BK0986,872.74,20.44,2.4,411822592000,2.12,21,1,海南海药,8.33
227,228,小金属概念,BK0695,2280.15,53.0,2.38,2719598944000,1.56,102,7,天奇股份,9.99
228,229,茅指数,BK0999,682.34,15.78,2.37,12559806208000,1.08,36,5,科沃斯,9.99
229,230,彩票概念,BK0671,2224.45,51.4,2.37,370528064000,2.61,22,0,同花顺,6.51
230,231,智能电网,BK0581,1540.95,35.51,2.36,1826794240000,3.17,156,16,广和通,15.12
231,232,冰雪经济,BK1185,856.58,19.6,2.34,219823412000,4.17,33,1,天娱数科,9.99
232,233,预亏预减,BK0570,1776.14,40.61,2.34,10991814656000,2.46,1169,85,航锦科技,10.02
233,234,预盈预增,BK0571,4313.05,97.7,2.32,16961272832000,2.94,1150,129,美格智能,10.01
234,235,RCS概念,BK0919,1330.51,30.12,2.32,205228160000,6.08,21,2,梦网科技,9.97
235,236,知识产权,BK0839,1783.35,40.2,2.31,376476736000,5.64,40,1,流金科技,9.12
236,237,NFT概念,BK0997,1479.09,33.34,2.31,500536480000,5.38,54,2,智度股份,5.8
237,238,GDR,BK0868,857.36,19.12,2.28,1455745248000,0.68,10,1,欣旺达,8.99
238,239,空气能热泵,BK1102,1224.17,27.28,2.28,1167306384000,2.72,26,6,银轮股份,10.02
239,240,并购重组概念,BK1181,962.5,21.41,2.28,1388024848000,1.86,67,8,云天励飞-U,20.0
240,241,碳基材料,BK1006,772.17,17.08,2.26,173585212000,2.63,18,1,露笑科技,4.43
241,242,地热能,BK0622,3027.42,66.61,2.25,89822155000,2.34,12,1,东方电热,4.25
242,243,熔盐储能,BK1103,772.7,16.91,2.24,70552099000,1.44,9,0,东方电热,4.25
243,244,基因测序,BK0693,1704.05,37.0,2.22,507689216000,5.64,50,2,华大基因,15.48
244,245,QFII重仓,BK0535,16249.75,352.77,2.22,3286521872000,2.19,235,31,东方材料,9.98
245,246,创投,BK0506,14210.58,307.58,2.21,4488698624000,3.16,259,28,航锦科技,10.02
246,247,上海自贸,BK0643,2871.56,62.06,2.21,915887968000,0.9,31,3,芯原股份,9.16
247,248,智能电视,BK0656,1145.45,24.73,2.21,288326912000,4.61,12,2,创维数字,10.03
248,249,锂矿概念,BK1173,1144.06,24.64,2.2,2364679296000,1.51,33,2,大为股份,9.99
249,250,深成500,BK0568,1080.14,23.22,2.2,21807431680000,2.03,416,72,航锦科技,10.02
250,251,职业教育,BK1022,1158.75,24.69,2.18,646395296000,5.19,65,7,宇瞳光学,19.99
251,252,转债标的,BK0528,8854.46,188.54,2.18,7418761984000,1.43,441,44,崇达技术,9.98
252,253,参股新三板,BK0600,2360.72,50.1,2.17,1383354288000,4.32,90,10,浙江东方,10.0
253,254,氢能源,BK0864,1024.74,21.67,2.16,4484258048000,1.31,223,19,航锦科技,10.02
254,255,机构重仓,BK0552,13109.53,277.22,2.16,41625979392000,0.88,853,91,航锦科技,10.02
255,256,跨境支付,BK1071,1514.17,31.84,2.15,11243460864000,0.34,40,8,软通动力,8.32
256,257,HIT电池,BK0908,2149.45,44.91,2.13,614604512000,1.48,37,0,欧莱新材,4.91
257,258,中证500,BK0701,1898.39,39.37,2.12,13200776448000,1.62,414,69,航锦科技,10.02
258,259,风能,BK0595,1820.34,37.27,2.09,6298370304000,1.1,198,19,汇洲智能,10.07
259,260,互联医疗,BK0837,925.16,18.9,2.09,4866053376000,2.49,89,8,浙数文化,9.97
260,261,跨境电商,BK1115,1290.14,26.22,2.07,1375779936000,3.79,118,10,天娱数科,9.99
261,262,碳纤维,BK1171,1147.34,23.31,2.07,330674240000,2.48,29,4,精工科技,6.67
262,263,股权转让,BK0803,628.32,12.73,2.07,180449291000,1.96,36,2,微创光电,5.34
263,264,铁路基建,BK0592,2186.54,44.19,2.06,2917475888000,1.06,108,7,汇洲智能,10.07
264,265,工程机械概念,BK0991,1248.41,25.18,2.06,923063312000,1.16,40,9,南方路机,10.02
265,266,超级电容,BK0703,3298.62,66.44,2.06,600705376000,2.11,29,4,泰尔股份,5.29
266,267,贬值受益,BK0812,1236.84,24.85,2.05,2082126336000,2.45,142,15,崇达技术,9.98
267,268,沪股通,BK0707,1912.77,37.88,2.02,59224248832000,0.84,1096,159,浙江东方,10.0
268,269,虚拟电厂,BK0958,1659.99,32.82,2.02,592752096000,2.05,48,4,力合微,6.2
269,270,海工装备,BK0601,1509.22,29.69,2.01,1137954256000,1.14,40,2,星网宇达,7.3
270,271,湖北自贸,BK0926,1438.35,28.28,2.01,332041904000,2.69,25,3,长源东谷,6.54
271,272,医疗器械概念,BK0668,3320.22,65.22,2.0,4439123456000,3.12,276,33,中基健康,9.97
272,273,数字哨兵,BK1084,1387.6,27.11,1.99,83812644000,5.34,11,0,国投智能,6.09
273,274,核能核电,BK0577,1876.62,36.3,1.97,2779136784000,1.49,127,9,南方路机,10.02
274,275,有机硅,BK0961,1119.4,21.51,1.96,280105648000,1.55,30,1,富祥药业,6.44
275,276,DRG/DIP,BK1054,915.32,17.49,1.95,140495623000,4.88,16,1,荣科科技,5.17
276,277,特高压,BK0918,1697.51,32.43,1.95,1070923552000,1.65,74,8,通达动力,10.0
277,278,食品安全,BK0614,5495.9,104.94,1.95,322968800000,4.1,38,5,移为通信,10.84
278,279,新能源,BK0493,13172.65,251.34,1.95,5648887040000,1.29,190,14,大业股份,9.97
279,280,中俄贸易概念,BK1072,1250.33,23.84,1.94,447445280000,2.04,51,7,通达创智,9.98
280,281,地摊经济,BK0924,1741.25,33.14,1.94,617508064000,2.56,32,3,金龙汽车,7.71
281,282,西部大开发,BK0590,2540.73,48.33,1.94,10499050752000,1.71,539,50,中基健康,9.97
282,283,口罩,BK0911,1478.59,28.11,1.94,2810523328000,2.78,136,20,金海高科,9.99
283,284,在线教育,BK0662,2061.35,39.02,1.93,1547969328000,6.78,98,19,拓维信息,10.02
284,285,券商概念,BK0711,1075.25,20.32,1.93,3925362992000,1.1,55,0,华创云信,6.95
285,286,网红直播,BK0940,645.38,12.06,1.9,1620861376000,6.54,112,15,浙数文化,9.97
286,287,上证380,BK0705,2267.38,42.3,1.9,7731979520000,1.19,311,58,浙江东方,10.0
287,288,富时罗素,BK0867,1457.43,27.13,1.9,60788454656000,1.24,1073,176,航锦科技,10.02
288,289,噪声防治,BK1082,1178.4,21.85,1.89,31127696000,3.56,7,1,天铁科技,4.08
289,290,东北振兴,BK0838,1054.2,19.51,1.89,611737392000,1.67,52,5,大连圣亚,10.02
290,291,长江三角,BK0594,2280.4,41.86,1.87,8184251136000,2.09,353,39,浙江东方,10.0
291,292,互联金融,BK0637,4650.39,85.13,1.86,18969122048000,0.66,176,28,天娱数科,9.99
292,293,血氧仪,BK1122,896.65,16.4,1.86,128248711000,2.53,11,3,国星光电,5.15
293,294,抗菌面料,BK1116,1123.21,20.5,1.86,76080462000,1.79,15,0,南山智尚,7.67
294,295,体育产业,BK0708,1140.14,20.31,1.81,810670240000,2.34,65,5,通达创智,9.98
295,296,社保重仓,BK0520,10108.45,179.73,1.81,415729872000,2.14,21,8,银轮股份,10.02
296,297,人造肉,BK0866,936.36,16.64,1.81,170383410000,4.15,16,2,莲花控股,10.04
297,298,C2M概念,BK0955,1085.24,19.19,1.8,295528016000,3.29,32,6,斯莱克,19.98
298,299,钒电池,BK1095,1055.47,18.54,1.79,486660976000,2.31,18,1,新天绿能,5.93
299,300,央企改革,BK1140,1065.23,18.71,1.79,33674689280000,0.51,398,48,内蒙一机,10.05
300,301,民爆概念,BK1066,1232.75,21.61,1.78,160980006000,2.03,14,3,壶化股份,4.31
301,302,数字阅读,BK0959,1584.03,27.76,1.78,198950926000,2.71,15,4,世纪恒通,11.31
302,303,深证100R,BK0743,1085.17,18.94,1.78,12688983040000,1.19,77,23,比亚迪,10.0
303,304,精准医疗,BK0806,898.28,15.58,1.77,564571280000,1.77,36,5,华大基因,15.48
304,305,参股保险,BK0604,2233.7,38.68,1.76,5664584960000,0.93,67,11,浙江东方,10.0
305,306,北交所概念,BK0925,1563.61,26.82,1.75,343274368000,1.91,24,0,中国汽研,5.35
306,307,冷链物流,BK0852,1676.57,28.66,1.74,1517239984000,2.4,95,18,音飞储存,9.98
307,308,蚂蚁概念,BK0937,689.89,11.79,1.74,4892978944000,0.84,48,6,千方科技,8.4
308,309,化债(AMC)概念,BK0980,967.39,16.53,1.74,993352624000,1.72,54,6,长亮科技,5.74
309,310,世界杯,BK1105,1606.99,27.37,1.73,2558774128000,2.95,15,3,金龙汽车,7.71
310,311,节能环保,BK0494,10299.73,175.3,1.73,3543168304000,1.73,367,37,杭钢股份,9.97
311,312,户外露营,BK1079,1170.6,19.83,1.72,124030944000,2.28,22,1,泰鹏智能,6.55
312,313,壳资源,BK0820,951.87,16.05,1.72,247210300000,4.77,65,9,汇洲智能,10.07
313,314,养老金,BK0823,1283.81,21.43,1.7,2983704096000,1.3,142,34,恒工精密,20.01
314,315,沪企改革,BK0672,2517.95,41.74,1.69,933963712000,1.47,35,5,锦江在线,5.78
315,316,工业气体,BK0981,1364.29,22.52,1.68,377545904000,1.04,24,3,蜀道装备,5.07
316,317,AI智能体,BK0809,1093.55,18.0,1.67,417642912000,17.04,21,8,金财互联,10.02
317,318,水利建设,BK0597,1506.43,24.68,1.67,2047987792000,2.07,95,11,中海达,12.08
318,319,国企改革,BK0683,3976.27,65.05,1.66,35672083968000,1.14,1182,127,航锦科技,10.02
319,320,MSCI中国,BK0821,1154.03,18.84,1.66,64016707328000,0.76,435,116,领益智造,10.02
320,321,重组蛋白,BK1063,721.43,11.72,1.65,147906980000,1.2,11,2,成都先导,7.25
321,322,RCEP概念,BK0962,1000.89,16.25,1.65,207758584000,1.84,21,2,景兴纸业,5.48
322,323,PVDF概念,BK1012,801.17,12.99,1.65,263356437000,1.8,11,3,深圳新星,4.17
323,324,体外诊断,BK0841,1144.08,18.47,1.64,906441008000,1.48,59,7,华大基因,15.48
324,325,一带一路,BK0712,1227.92,19.74,1.63,13304819200000,0.92,386,46,通达创智,9.98
325,326,参股期货,BK0524,27309.06,434.3,1.62,2982195056000,1.06,43,2,浙江东方,10.0
326,327,氟化工,BK0690,3003.7,47.7,1.61,577955472000,2.03,26,4,天赐材料,4.39
327,328,净水概念,BK1068,1066.95,16.77,1.6,1132788176000,0.95,18,1,威派格,4.29
328,329,快递概念,BK0990,849.56,13.32,1.59,572114176000,1.51,40,2,景兴纸业,5.48
329,330,进口博览,BK0850,960.97,15.06,1.59,235630482000,1.12,15,1,东方明珠,5.74
330,331,娃哈哈概念,BK1165,1052.12,16.4,1.58,94139224000,2.71,19,2,东方材料,9.98
331,332,页岩气,BK0603,1771.3,27.41,1.57,2657670352000,0.51,35,6,云南能投,6.81
332,333,健康中国,BK0719,1056.0,16.27,1.56,1427958400000,1.92,87,13,中基健康,9.97
333,334,养老概念,BK0653,2279.36,34.95,1.56,2742265696000,1.92,101,14,捷昌驱动,10.02
334,335,光伏建筑一体化,BK0978,1197.89,18.36,1.56,1039596816000,2.09,72,6,立方数科,9.2
335,336,辅助生殖,BK0939,911.5,13.97,1.56,495261696000,1.66,49,2,华大基因,15.48
336,337,滨海新区,BK0566,9019.76,137.75,1.55,203732289000,1.57,18,1,金开新能,6.3
337,338,疫苗冷链,BK0941,1094.52,16.57,1.54,463355744000,1.65,24,5,必创科技,5.84
338,339,油气设服,BK0606,1480.45,22.36,1.53,1951336896000,1.0,56,7,云南能投,6.81
339,340,氦气概念,BK0949,1322.66,19.83,1.52,89716543000,2.09,10,1,蜀道装备,5.07
340,341,雄安新区,BK0813,829.42,12.41,1.52,2553982640000,1.59,139,14,维信诺,9.99
341,342,第四代半导体,BK1121,1366.34,20.38,1.51,109174406000,1.25,2,2,南大光电,3.76
342,343,微盘股,BK1158,1967.06,29.31,1.51,691135792000,3.18,358,28,青云科技-U,20.01
343,344,统一大市场,BK1077,1069.19,15.9,1.51,347712416000,1.48,36,2,德马科技,6.03
344,345,降解塑料,BK0909,1483.24,21.99,1.5,656406880000,1.6,57,5,山东矿机,10.13
345,346,京津冀,BK0684,1500.91,22.2,1.5,556632784000,1.91,45,4,凌云股份,8.42
346,347,标准普尔,BK0879,1405.88,20.76,1.5,55577378816000,1.02,836,179,航锦科技,10.02
347,348,成渝特区,BK0534,17432.26,256.46,1.49,2190503680000,1.75,78,6,宗申动力,7.44
348,349,IPO受益,BK0697,3091.91,45.31,1.49,2110220592000,1.57,47,8,浙江东方,10.0
349,350,中字头,BK0505,7865.83,113.86,1.47,16023549440000,0.4,94,10,中航电测,6.54
350,351,电商概念,BK0665,1929.49,27.91,1.47,6242314240000,2.54,281,45,拓维信息,10.02
351,352,粤港自贸,BK0677,2785.04,40.26,1.47,1016695824000,1.64,56,15,豪恩汽电,20.0
352,353,参股券商,BK0514,12811.39,184.43,1.46,3955945856000,1.35,114,19,浙江东方,10.0
353,354,乡村振兴,BK0834,1335.41,19.14,1.45,1317963808000,2.87,114,15,天娱数科,9.99
354,355,农业种植,BK0888,1952.0,27.8,1.44,705050704000,2.71,74,9,福达股份,10.01
355,356,垃圾分类,BK0873,1264.57,17.64,1.41,760894224000,1.87,88,12,天奇股份,9.99
356,357,AB股,BK0498,10339.52,143.78,1.41,1330841808000,1.62,63,10,深康佳Ａ,6.54
357,358,合成生物,BK1174,983.08,13.67,1.41,1146671840000,2.17,92,14,华大基因,15.48
358,359,碳交易,BK0966,1389.38,19.27,1.41,2483391680000,0.96,118,13,四方光电,9.0
