,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
421,422,破净股,BK1112,1219.11,12.01,0.99,21880088320000,0.56,384,55,杭钢股份,9.97
422,423,生态农业,BK0669,1162.21,11.21,0.97,263065942000,1.68,37,5,庄园牧场,3.54
423,424,生物质能发电,BK1098,879.82,8.38,0.96,193199596000,1.17,24,2,九洲集团,3.17
424,425,千金藤素,BK1083,905.23,8.53,0.95,134026528000,0.72,4,1,皓元医药,2.76
425,426,阿兹海默,BK0894,1566.06,14.75,0.95,135467821000,2.55,12,1,双成药业,3.43
426,427,海洋经济,BK0623,2294.91,20.84,0.92,693993696000,1.35,23,5,雪人股份,3.39
427,428,代糖概念,BK0938,867.34,7.86,0.91,129390387000,1.04,14,1,醋化股份,3.29
428,429,单抗概念,BK0870,1353.05,12.2,0.91,1371367104000,1.02,36,10,海南海药,8.33
429,430,长寿药,BK0936,808.31,7.21,0.9,118653704000,2.61,13,1,雅本化学,2.54
430,431,举牌,BK0685,2095.49,18.29,0.88,205206310000,1.4,10,2,香山股份,3.83
431,432,钛白粉,BK0805,936.31,8.12,0.87,135468836000,0.93,9,1,钒钛股份,1.81
432,433,上证50_,BK0611,1762.02,15.26,0.87,26323043584000,0.24,37,11,中微公司,5.84
433,434,气溶胶检测,BK1065,1173.24,10.05,0.86,216311638000,1.25,8,2,蓝盾光电,2.86
434,435,ST股,BK0511,5226.91,44.73,0.86,465061568000,1.35,83,33,*ST摩登,4.9
435,436,维生素,BK0895,1543.34,13.11,0.86,409433040000,1.2,22,4,华恒生物,3.24
436,437,流感,BK0906,1389.97,11.77,0.85,1274724912000,1.73,94,17,泓博医药,8.41
437,438,幽门螺杆菌概念,BK1056,798.31,6.62,0.84,454541696000,1.47,45,5,东方海洋,2.49
438,439,煤化工,BK0492,8516.94,69.53,0.82,2358277728000,1.09,55,14,庚星股份,3.94
439,440,医疗美容,BK0889,1430.4,11.45,0.81,932170400000,1.28,58,7,爱朋医疗,4.39
440,441,退税商店,BK0933,1147.33,9.05,0.8,140416348000,1.15,9,1,广百股份,2.05
441,442,免税概念,BK0927,1225.71,9.65,0.79,917258800000,1.22,28,3,中百集团,3.84
442,443,超级品牌,BK0811,2276.17,17.67,0.78,8379445760000,1.19,26,5,比亚迪,10.0
443,444,中药概念,BK0615,1946.42,14.79,0.77,1868907056000,1.51,115,24,海南海药,8.33
444,445,啤酒概念,BK1073,968.5,7.04,0.73,228600789000,0.89,13,3,品渥食品,2.95
445,446,中特估,BK1139,1047.17,7.48,0.72,22717858304000,0.27,58,20,中国卫通,6.27
446,447,独家药品,BK0676,2282.24,15.67,0.69,721991408000,1.18,33,4,君实生物-U,3.33
447,448,东盟自贸区概念,BK1154,1078.68,7.04,0.66,173599015000,1.02,11,2,华锡有色,2.64
448,449,黄金概念,BK0547,11630.17,74.52,0.64,1540583616000,1.36,35,17,东方锆业,4.62
449,450,草甘膦,BK0950,1380.14,8.74,0.64,151552728000,1.02,10,3,诺 普 信,3.47
450,451,低碳冶金,BK0979,884.31,5.03,0.57,295603648000,0.42,6,2,八一钢铁,2.59
451,452,地塞米松,BK0929,1122.62,5.75,0.51,76250276000,1.26,7,1,金种子酒,1.88
452,453,肝素概念,BK0944,811.6,4.12,0.51,197945419000,1.21,9,3,复星医药,1.5
453,454,毛发医疗,BK0996,775.23,3.82,0.5,85451419000,1.54,11,2,水羊股份,2.16
454,455,超级真菌,BK0862,934.73,4.49,0.48,465963760000,1.95,15,5,尔康制药,1.56
455,456,青蒿素,BK0872,1484.93,6.16,0.42,271115664000,1.1,7,4,凯莱英,4.35
456,457,光伏高速公路,BK1096,1250.94,2.66,0.21,104429943000,0.57,5,2,恒华科技,1.52
457,458,猪肉概念,BK0882,1137.38,2.34,0.21,819449776000,1.23,19,12,得利斯,2.87
458,459,熊去氧胆酸,BK1120,921.31,1.56,0.17,328666432000,2.33,14,6,复旦复华,4.36
459,460,鸡肉概念,BK0887,700.42,0.66,0.09,348631376000,1.02,11,8,圣农发展,2.38
460,461,蒙脱石散,BK1123,923.73,0.82,0.09,55489777000,1.86,6,4,罗欣药业,1.09
