排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
295,碳交易,BK0966,1427.62,20.67,1.47,2512867520000,1.14,100,28,华西能源,10.08
296,环氧丙烷,BK1011,532.0,7.67,1.46,321976064000,1.05,10,4,航锦科技,10.02
297,小米概念,BK0833,1790.19,25.62,1.45,3136717040000,3.8,154,51,浙文互联,10.01
298,氦气概念,BK0949,1348.23,19.06,1.43,91272097000,2.03,9,2,和远气体,6.57
299,地塞米松,BK0929,1155.37,16.28,1.43,77706299000,1.64,7,1,赛托生物,3.23
300,气溶胶检测,BK1065,1205.69,16.96,1.43,216562055000,1.4,6,4,捷强装备,4.7
301,统一大市场,BK1077,1103.5,15.45,1.42,360805136000,2.39,26,11,供销大集,10.07
302,央企改革,BK1140,1093.1,15.17,1.41,33973203712000,0.64,323,109,东风股份,10.0
303,超导概念,BK0679,3833.94,53.14,1.41,231527997000,4.1,9,6,辰光医疗,10.63
304,一带一路,BK0712,1262.72,17.5,1.41,13509995264000,1.08,328,102,东风股份,10.0
305,玻璃基板,BK1175,1347.59,18.4,1.38,532371232000,2.82,26,7,华映科技,10.0
306,水产养殖,BK0967,807.79,11.02,1.38,248872011000,3.07,13,3,粤海饲料,6.25
307,贬值受益,BK0812,1267.6,17.25,1.38,2128726832000,2.53,123,32,宏盛股份,10.02
308,快递概念,BK0990,873.02,11.85,1.38,580330176000,1.63,31,8,药易购,20.0
309,智能机器,BK0640,4780.47,64.75,1.37,3567776592000,5.3,117,54,科远智慧,9.98
310,LED,BK0580,3172.22,42.64,1.36,1353263088000,2.81,63,28,深桑达Ａ,10.01
311,蓝宝石,BK0674,2497.18,33.37,1.35,543761952000,2.47,12,7,奥瑞德,9.96
312,AIPC,BK1164,1538.94,20.46,1.35,979758816000,5.73,30,11,软通动力,6.07
313,充电桩,BK0700,2267.81,29.95,1.34,4093069440000,3.32,163,59,润建股份,10.01
314,富时罗素,BK0867,1499.62,19.45,1.31,61756265216000,1.43,842,385,航锦科技,10.02
315,钒电池,BK1095,1096.23,14.16,1.31,508661248000,3.62,13,5,四川长虹,9.98
316,燃料电池,BK0682,3071.89,39.36,1.3,2598543600000,2.72,96,48,航锦科技,10.02
317,东盟自贸区概念,BK1154,1106.47,14.17,1.3,177699849000,1.3,12,2,桂林旅游,4.19
318,黄金概念,BK0547,11903.21,152.03,1.29,1578411488000,1.63,40,14,能特科技,7.72
319,ST股,BK0511,5349.15,66.29,1.25,470652432000,1.54,80,32,*ST工智,4.92
320,转债标的,BK0528,9100.81,110.86,1.23,7549225472000,1.71,344,142,文科股份,10.12
321,口罩,BK0911,1513.15,18.42,1.23,2892673360000,2.88,118,38,华强科技,19.99
322,参股券商,BK0514,13150.2,159.71,1.23,4040212656000,1.74,98,33,浙江东方,10.03
323,疫苗冷链,BK0941,1118.15,13.52,1.22,470114080000,1.63,23,5,中兵红箭,5.13
324,万达概念,BK0831,1000.72,12.06,1.22,579835712000,1.05,11,4,新华联,5.43
325,独家药品,BK0676,2332.29,28.06,1.22,729538576000,1.51,31,8,艾迪药业,4.64
326,IPO受益,BK0697,3168.63,37.48,1.2,2143662256000,2.14,38,17,浙江东方,10.03
327,核污染防治,BK0983,1191.41,14.06,1.19,375437856000,1.13,25,6,辰安科技,6.94
328,被动元件,BK0976,1279.52,14.87,1.18,392738656000,3.32,19,7,东晶电子,9.99
329,可控核聚变,BK1163,1201.04,13.95,1.18,393411488000,2.94,13,6,辰光医疗,10.63
330,核能核电,BK0577,1927.96,22.34,1.17,2806750304000,1.84,97,38,科华数据,10.01
331,青蒿素,BK0872,1510.45,17.44,1.17,276056912000,1.24,8,2,凯莱英,4.37
332,石墨烯,BK0617,1897.69,21.82,1.16,822108928000,2.46,51,19,华西能源,10.08
333,碳化硅,BK0977,1307.46,15.01,1.16,559196768000,3.05,25,10,奥瑞德,9.96
334,宠物经济,BK0993,740.82,8.49,1.16,250920120000,1.89,26,10,回盛生物,6.34
335,航母概念,BK0715,826.81,9.36,1.15,1152055168000,1.0,23,12,宝塔实业,7.12
336,创业成份,BK0638,1743.73,19.43,1.13,6110890496000,3.69,67,33,光线传媒,19.99
337,IGBT概念,BK1048,787.77,8.77,1.13,2050383248000,3.6,26,11,利欧股份,9.93
338,破净股,BK1112,1252.27,13.8,1.11,20542740736000,0.68,304,101,大商股份,10.01
339,Chiplet概念,BK1101,1510.39,16.64,1.11,701187312000,4.11,21,7,寒武纪-U,8.86
340,换电概念,BK0985,1310.17,14.34,1.11,846117568000,2.61,35,14,安车检测,7.18
341,氢能源,BK0864,1050.63,11.38,1.1,4565869056000,1.49,169,69,航锦科技,10.02
