排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,盲盒经济,BK0954,1301.94,74.0,6.03,123141174000,10.4,9,2,金运激光,20.03
2,昨日连板_含一字,BK1051,2765.09,123.43,4.67,485145904000,14.15,24,12,世荣兆业,9.97
3,昨日连板,BK0816,27.67,0.72,2.67,297796640000,15.28,13,10,世荣兆业,9.97
4,拼多多概念,BK0957,1305.88,31.76,2.49,153073513000,8.37,14,11,天地在线,9.99
5,全息技术,BK0699,2281.99,51.65,2.32,144771201000,3.58,7,4,苏州科达,10.04
6,谷子经济,BK1183,1071.38,23.56,2.25,525068896000,8.08,40,19,金运激光,20.03
7,铜缆高速连接,BK1168,1551.3,32.96,2.17,630292032000,8.64,26,9,泓淋电力,9.46
8,3D摄像头,BK0901,1620.8,33.75,2.13,625166064000,4.69,7,4,联创电子,10.01
9,快手概念,BK0972,1715.76,34.33,2.04,308771760000,18.75,21,10,日出东方,10.01
10,昨日涨停_含一字,BK1050,140711.26,2653.48,1.92,1390982384000,12.35,71,67,居然智家,10.0
11,黄金概念,BK0547,12131.2,227.99,1.92,1598311696000,2.04,42,13,莱绅通灵,9.95
12,小红书概念,BK1187,1154.16,19.29,1.7,492740976000,15.44,37,23,元隆雅图,9.99
13,超导概念,BK0679,3892.08,58.14,1.52,233041524000,4.97,9,6,辰光医疗,7.03
14,昨日涨停,BK0815,564.38,6.61,1.19,1210266624000,12.73,59,66,居然智家,10.0
15,影视概念,BK0847,893.47,9.11,1.03,616663664000,5.12,35,26,华数传媒,10.0
16,MLCC,BK0890,1768.01,17.52,1.0,178692885000,1.67,6,7,昀冢科技,19.99
17,网红直播,BK0940,682.96,6.76,1.0,1713661456000,7.89,65,64,浙数文化,10.03
18,eSIM,BK0956,1665.84,16.26,0.99,324430816000,3.05,5,5,美格智能,10.0
19,3D玻璃,BK0881,1224.76,11.86,0.98,321173824000,5.89,7,11,联创电子,10.01
20,青蒿素,BK0872,1524.22,13.77,0.91,276504064000,1.2,4,7,昆药集团,9.98
21,空间计算,BK1143,1236.21,10.32,0.84,146614057000,7.93,9,14,风语筑,10.0
22,户外露营,BK1079,1206.93,10.04,0.84,127263099000,2.45,12,10,泰鹏智能,6.32
23,抖音概念(字节概念),BK0923,1441.59,11.87,0.83,862099136000,13.03,36,43,天地在线,9.99
24,富士康,BK0842,1662.81,13.63,0.83,462020448000,3.2,12,20,鼎捷数智,13.32
25,汽车拆解,BK0943,1022.83,8.19,0.81,266670758000,1.14,9,9,杭钢股份,9.99
26,彩票概念,BK0671,2349.63,18.76,0.8,389555968000,4.37,10,12,粤 传 媒,9.93
27,3D打印,BK0619,5185.18,39.87,0.77,598415248000,4.04,31,33,金运激光,20.03
28,高压快充,BK1144,1067.95,8.19,0.77,396050144000,3.87,18,25,香山股份,10.01
29,智谱AI,BK1182,1252.87,9.57,0.77,433841152000,14.8,16,18,梦网科技,9.99
30,人形机器人,BK1184,1328.7,9.96,0.76,1293272528000,6.83,40,36,凯尔达,20.01
31,次新股,BK0501,26567.39,184.87,0.7,822098224000,13.22,47,43,中草香料,20.32
32,抗菌面料,BK1116,1157.56,7.51,0.65,78316411000,2.16,9,4,南山智尚,8.83
33,广电,BK0904,1516.87,9.75,0.65,257162887000,4.98,11,16,华数传媒,10.0
34,F5G概念,BK1088,2298.45,14.76,0.65,559114096000,2.53,12,9,瑞斯康达,9.99
35,裸眼3D,BK1142,1073.48,6.86,0.64,313006880000,2.27,11,10,风语筑,10.0
36,净水概念,BK1068,1095.62,6.91,0.63,1148101920000,0.9,6,11,威派格,10.03
37,机器人执行器,BK1145,1526.62,9.4,0.62,525120912000,5.94,13,13,中大力德,6.93
38,混合现实,BK1141,1388.73,8.52,0.62,1069623488000,3.01,14,16,联创电子,10.01
39,光伏高速公路,BK1096,1278.79,7.68,0.6,105576303000,0.72,5,1,山西高速,1.87
40,电子竞技,BK0853,1358.35,7.98,0.59,3060059056000,2.69,14,20,浙数文化,10.03
