排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,昨日连板_含一字,BK1051,2508.74,191.49,8.26,303957840000,17.1,24,3,美格智能,10.0
2,昨日连板,BK0816,26.55,1.75,7.06,172032447000,17.08,13,2,新炬网络,10.01
3,AI制药,BK1170,1001.82,62.08,6.61,145082490000,5.04,16,0,贝瑞基因,9.98
4,DRG/DIP,BK1054,974.8,59.48,6.5,151354059000,8.81,17,1,塞力医疗,10.0
5,DeepSeek概念,BK1188,1148.9,53.88,4.92,1408049376000,11.97,40,14,美格智能,10.0
6,昨日涨停_含一字,BK1050,132087.82,6152.91,4.89,2115596176000,13.22,80,20,联创电子,10.05
7,华为欧拉,BK1013,1677.58,70.17,4.37,326263680000,14.54,15,2,拓维信息,9.99
8,昨日涨停,BK0815,537.72,22.11,4.29,2017237536000,13.57,70,20,联创电子,10.05
9,SPD概念,BK1147,893.57,34.72,4.04,68695133000,4.46,11,0,塞力医疗,10.0
10,智谱AI,BK1182,1164.57,45.17,4.04,405663744000,12.88,25,8,优刻得-W,19.98
11,国资云概念,BK1008,1396.54,52.98,3.94,362786304000,7.61,16,3,杭钢股份,10.02
12,东数西算,BK1064,1534.12,55.46,3.75,1091539376000,6.26,44,14,浙数文化,10.04
13,赛马概念,BK0709,680.87,23.48,3.57,18578030000,3.13,3,0,海南瑞泽,10.03
14,VPN,BK0885,1186.33,39.88,3.48,327300768000,10.98,17,2,优刻得-W,19.98
15,TOPCon电池,BK1097,717.38,23.9,3.45,599669248000,2.53,38,3,钧达股份,10.0
16,算力概念,BK1134,1449.06,47.49,3.39,6403716864000,5.78,118,18,美格智能,10.0
17,长寿药,BK0936,835.68,27.37,3.39,121970874000,4.09,14,1,安琪酵母,4.86
18,BC电池,BK1148,829.74,26.04,3.24,368847040000,2.77,20,2,钧达股份,10.0
19,CAR-T细胞疗法,BK0986,900.53,27.79,3.18,417658304000,2.99,21,2,三元基因,21.13
20,信创,BK1104,1728.31,52.93,3.16,3669664672000,10.1,194,46,新炬网络,10.01
21,HIT电池,BK0908,2217.26,67.81,3.15,642433216000,2.73,36,3,双良节能,10.04
22,3D玻璃,BK0881,1187.98,35.63,3.09,310942464000,4.0,14,3,联创电子,10.05
23,eSIM,BK0956,1605.74,46.9,3.01,312310112000,3.66,10,0,美格智能,10.0
24,云计算,BK0579,2933.34,85.58,3.01,8087646720000,6.32,193,35,杭钢股份,10.02
