symbol,avg_real_change,top3_real_change,median_real_change,bottom3_real_change
sz000803,0.012664209551744573,"0.1054018445322793,0.10833333333333343,0.18217306441119058",0.012499433701077983,"-0.11980676328502418,-0.11245551601423487,-0.11078886310904874"
sz000025,0.012200237815216546,"0.14003206841261362,0.14470588235294124,0.18211920529801318",0.007063431183620513,"-0.2029520295202952,-0.15182307232516432,-0.1333104080696929"
sz300399,0.011732964593217763,"0.12646416517768508,0.13097026133974166,0.14658753709198807",0.0073132313231323775,"-0.1259259259259259,-0.11040609137055835,-0.10926025434354279"
sz300333,0.011265649320884807,"0.18170856135794455,0.18184007707129105,0.18184703268803554",0.009304886098208062,"-0.1720627739290259,-0.11081024786502817,-0.10213273281229313"
sz300268,0.011205441005682005,"0.11317907444668009,0.120696806304438,0.15651678998292542",0.00554994954591319,"-0.21243885394828785,-0.1428571428571427,-0.11926020408163261"
sz000558,0.01104919367119642,"0.12287194670614361,0.1353615520282187,0.18175046554934832",0.008429926238145487,"-0.13482428115015982,-0.11211664152840625,-0.10916496945010182"
sz300377,0.011026326743113197,"0.12360781449698745,0.13598797896318554,0.14862914862914858",0.005659995957145768,"-0.11878319652341868,-0.10516759776536315,-0.09998000399920016"
sz300329,0.010845984560368489,"0.11303594629709829,0.1159257175014068,0.11858887381275453",0.009708763223194469,"-0.2102742707879844,-0.11980830670926518,-0.1115044247787611"
sz002175,0.01074717852734115,"0.10956312349501199,0.10974025974025971,0.11688311688311688",0.011622842232035318,"-0.12940548237807054,-0.12115732368896913,-0.11643330876934414"
sz300033,0.010263879563061582,"0.13496269060235758,0.1565946184384649,0.18176532154901728",0.006937126029886298,"-0.14124513618677045,-0.1295409743734159,-0.10971193415637859"
sz002599,0.009848251431884626,"0.11531421598535696,0.12162162162162159,0.13142857142857148",0.00628636878274845,"-0.18726163234172388,-0.13438368860055613,-0.12125534950071327"
sz300311,0.009734741724392995,"0.10725141120277909,0.11625663289917988,0.1452229299363058",0.01222426574167361,"-0.1605415860735009,-0.1349464111724585,-0.11090974990938741"
sz300109,0.009640584378015524,"0.11191335740072202,0.11383084577114426,0.14157566302652103",0.012960436562073678,"-0.21537470474554438,-0.13587107529869408,-0.12476572958500659"
sz002034,0.009492556054122803,"0.130446549391069,0.13796000672155942,0.15654205607476634",0.007589975910545475,"-0.22004357298474955,-0.12060432404271952,-0.11111111111111105"
sz000710,0.009465581332278128,"0.11146881287726355,0.11290322580645161,0.11812144212523713",0.012329254387019388,"-0.19515669515669531,-0.15583508036338228,-0.13906027527289985"
sz002045,0.009109494932990672,"0.1018998272884283,0.10445682451253482,0.12893081761006292",0.008421052631578954,"-0.11544461778471142,-0.10327102803738322,-0.09929078014184395"
sz002012,0.0090589289538626,"0.1111111111111111,0.11526794742163807,0.18092909535452317",0.006024096385542218,"-0.11386138613861393,-0.1047463175122749,-0.09775641025641016"
