symbol,avg_real_change,top3_real_change,median_real_change,bottom3_real_change
bj831526,0.007204063722894876,"0.23076923076923078,0.25000000000000006,0.2663043478260869",-0.002061855670103049,"-0.29063786008230463,-0.1435979258077384,-0.11558538404175993"
bj838924,0.006962788365617848,"0.10777521170130859,0.1154513888888889,0.24000000000000002",0.0031874958727643116,"-0.21607515657620044,-0.16221985058697969,-0.08265306122448984"
bj871753,0.006427126801867371,"0.1969949916527547,0.23588039867109628,0.29370629370629375",0.0013717421124829457,"-0.26046221111805107,-0.16171617161716179,-0.0900832702498107"
bj872925,0.006234794577804555,"0.13909774436090222,0.14691943127962084,0.1877184223664504",0.003070569729875709,"-0.09000000000000002,-0.08176100628930819,-0.06976744186046507"
bj839946,0.006134027628538938,"0.18613138686131395,0.22445820433436536,0.2246153846153846",0.003460373337164892,"-0.23921568627450995,-0.12040816326530626,-0.11418047882136283"
bj838227,0.006071280904227977,"0.1443548387096775,0.17608695652173917,0.20576407506702415",0.000555826305821766,"-0.11459074733096081,-0.06183574879227042,-0.05607476635514016"
bj835184,0.0059027508829249805,"0.1401709401709401,0.1717791411042945,0.2264416315049227",0.0023480518335198737,"-0.1795543905635648,-0.14461538461538467,-0.11076923076923073"
bj430510,0.005861986457829426,"0.21246006389776367,0.21271217045864935,0.21330064357952805",0.0012565346836392968,"-0.15476190476190485,-0.1448657861099275,-0.11933797909407658"
bj835508,0.0058460559437623644,"0.13510019392372344,0.2389006342494715,0.27493713327745173",0.003187269208693756,"-0.20316622691292882,-0.10199999999999995,-0.09147609147609138"
bj430418,0.005761401397301238,"0.11394196744515211,0.13466915191053125,0.23417332513829126",0.0026637724586218124,"-0.12446351931330465,-0.07925407925407922,-0.07160647571606489"
bj836260,0.005742789761571303,"0.07763975155279502,0.09379128137384411,0.1001494768310913",0.005479456624721485,"-0.13874999999999993,-0.07569141193595348,-0.0397260273972604"
bj871553,0.00560442418005108,"0.11369509043927647,0.1596638655462185,0.1991434689507494",0.005901553727640689,"-0.1510297482837529,-0.13666666666666658,-0.09803921568627438"
bj831834,0.005529496321344406,"0.16891891891891891,0.2197125256673512,0.2890995260663507",0.0026493830972866943,"-0.2141732283464566,-0.18644067796610161,-0.10915492957746481"
bj836826,0.005510112919803157,"0.20689655172413798,0.2203389830508474,0.2631578947368422",0.0,"-0.16291532690246513,-0.0671428571428571,-0.06161137440758289"
bj833943,0.005394563836760062,"0.10922330097087377,0.16487804878048776,0.1935483870967742",0.001404115456495038,"-0.14541832669322718,-0.06891891891891888,-0.06095041322314048"
bj837092,0.005335245149835272,"0.12435677530017146,0.16519647153167605,0.1683300066533599",0.0013059838269418298,"-0.20393442622950816,-0.15054744525547453,-0.08421690396849443"
bj873305,0.005266112529235511,"0.16642192853646592,0.1874180865006554,0.1879756468797565",0.0028355387523628884,"-0.2212885154061624,-0.1578249336870026,-0.08305084745762716"
bj837242,0.005256947638016237,"0.0930232558139535,0.14646464646464644,0.15601882985877608",0.005329128803291364,"-0.15339425587467373,-0.09513742071881617,-0.07179487179487186"
bj836720,0.00516356305761193,"0.19868276619099898,0.22389937106918242,0.22787979966611022",0.0008525545747584064,"-0.19322033898305094,-0.15803108808290156,-0.08705114254624581"
bj871857,0.0050159246619371775,"0.1071428571428572,0.11242067089755216,0.21656407386681595",0.002493905169411526,"-0.1483924154987633,-0.09718172983479106,-0.06178707224334604"
bj870299,0.00482665185752385,"0.1541353383458646,0.18902439024390244,0.23664122137404578",0.0024242459860362915,"-0.16835016835016833,-0.15320334261838447,-0.08684863523573214"
bj831167,0.004687812894375776,"0.126178390137781,0.14093023255813958,0.14665801427644384",0.0030853426395940258,"-0.1754658385093166,-0.12454212454212449,-0.0635593220338983"
bj870204,0.004618137565695794,"0.2021028037383178,0.21465968586387432,0.26615646258503395",0.0013136582953985005,"-0.28285714285714275,-0.19015151515151515,-0.15855855855855855"
bj831726,0.00457387461717422,"0.13344453711426185,0.14182194616977217,0.1781512605042016",0.0028705901724824902,"-0.18210526315789477,-0.08150851581508514,-0.06269925611052071"
bj836247,0.004519288214294636,"0.2205746061167747,0.22200584225900677,0.2245989304812833",0.0,"-0.15549999999999997,-0.13377483443708607,-0.12109374999999992"
bj872808,0.004467074534915883,"0.16961038961038963,0.17168364427148905,0.18930481283422462",0.006418495814382749,"-0.2642102898225118,-0.20155763239875385,-0.19139999999999988"
