symbol,avg_real_change,top3_real_change,median_real_change,bottom3_real_change
sh600706,0.008479862739223973,"0.1153846153846154,0.12203687445127309,0.14485165794066318",0.006173172395197196,"-0.12876712328767126,-0.0850111856823266,-0.08170212765957455"
sh603029,0.00802083922424488,"0.13491446345256605,0.16381522668947812,0.18143459915611812",0.003571541551991319,"-0.11370716510903414,-0.10026212319790309,-0.09110947832476123"
sh601007,0.007324475998419035,"0.11133810010214504,0.11349036402569598,0.12972972972972965",0.005272178801590558,"-0.11082802547770713,-0.10237388724035601,-0.08113391984359726"
sh600992,0.00704351205370172,"0.1031215161649945,0.10676532769556017,0.10788690476190471",0.007509209763490633,"-0.11406844106463888,-0.1019367991845056,-0.09390125847047441"
sh603136,0.006350411956735071,"0.10419906687402798,0.10483075911929021,0.12445255474452556",0.00605499759201168,"-0.1073663938372653,-0.08775222900046932,-0.07878787878787875"
sh688270,0.006264662345342615,"0.10110214353900898,0.10527127003699147,0.14358490566037735",0.003407407407407466,"-0.08827426300099367,-0.07998545718960187,-0.07868131868131864"
sh605108,0.0060201591734036185,"0.0946196660482375,0.09822646657571628,0.1068241469816273",0.006113958985185955,"-0.08884401817263998,-0.08634443923040826,-0.0842572062084257"
sh600520,0.0060127676384213145,"0.11375864719446584,0.12380122057541411,0.14344991108476574",0.006760020890455715,"-0.21846370683579971,-0.10548523206751054,-0.08058375634517764"
sh600313,0.005678735050218609,"0.11758118701007837,0.11931818181818185,0.12464319695528074",0.005145606911630082,"-0.15329218106995887,-0.13749999999999996,-0.10043352601156073"
sh603963,0.005490634302822052,"0.13341274568195347,0.13802816901408446,0.18214936247723132",0.004626253557732886,"-0.11088295687885018,-0.10514285714285714,-0.10071428571428573"
sh600546,0.005079479758116835,"0.08425275827482445,0.08708891595615112,0.08869741510390268",0.004543954306041354,"-0.10416666666666671,-0.0863028953229399,-0.08106435643564348"
sh600354,0.0050175636971133645,"0.10072815533980584,0.10883482714468637,0.10899182561307899",0.0033707035598263668,"-0.08300395256916995,-0.06941838649155724,-0.06634304207119729"
sh600138,0.004860194749820496,"0.07568807339449543,0.09010458567980686,0.09663250366032212",0.003660436723925799,"-0.06637168141592922,-0.06484018264840191,-0.057851239669421434"
sh600358,0.004751098750145027,"0.13084112149532698,0.13919413919413914,0.15051020408163263",0.003624648923584065,"-0.08679927667269446,-0.08393632416787265,-0.07861635220125786"
sh688032,0.004575718625636983,"0.10563218390804605,0.11949170938601042,0.14298967971822427",0.0060776028297969825,"-0.11371965561377988,-0.10760152724748351,-0.1029473306630001"
sh603477,0.004445272178209917,"0.09211222869242996,0.09274563820018362,0.10389610389610399",0.007144363418682454,"-0.11163387510692897,-0.11014492753623194,-0.09682224428997017"
sh603123,0.004441465056958386,"0.10109090909090913,0.14130434782608695,0.1482889733840305",0.0014814912651450796,"-0.08801213960546284,-0.07892376681614341,-0.07636363636363645"
sh600353,0.004308750217131998,"0.09059711736444752,0.09930178432893724,0.10217113665389525",0.004608338426180497,"-0.11881188118811892,-0.07810107197549766,-0.07768361581920902"
sh688261,0.004308433783767429,"0.09947678874929192,0.10164533820840954,0.11475826972010184",0.004310059530746766,"-0.1560601592450605,-0.124875,-0.08119022316684375"
sh601001,0.00422472599614088,"0.0782190132370637,0.08424336973478944,0.08480565371024743",0.004349291763282553,"-0.11335012594458435,-0.11111111111111116,-0.0888157894736843"
sh600403,0.004171898243090131,"0.09035222052067379,0.09179687499999994,0.09932659932659944",0.0035149384885763747,"-0.08317214700193418,-0.06666666666666658,-0.053859964093357235"
sh600996,0.004084575235035411,"0.10786914235190102,0.11503416856492026,0.12231759656652366",0.00273130315787119,"-0.16290322580645158,-0.11996644295302011,-0.08853681267474364"
sh600026,0.00402865516382762,"0.08854166666666663,0.08996539792387537,0.10267857142857131",0.003473915823930447,"-0.11336828309305388,-0.09873138444567012,-0.09613983976693374"
sh600749,0.0039042014023861343,"0.09267912772585667,0.09575353871773525,0.09838998211091231",0.004971713728105826,"-0.13096200485044457,-0.0831191088260496,-0.08275328692962106"
sh600303,0.003880069831307439,"0.08095238095238103,0.0962288686605982,0.09760956175298792",0.0,"-0.10546139359698692,-0.08351648351648369,-0.08177570093457956"
sh688248,0.0037448734144020076,"0.13544934489758265,0.13886500429922616,0.17696078431372547",0.0021916403745985504,"-0.16620453433371388,-0.15007126858073708,-0.10536633178142604"
sh600190,0.0036991423557101275,"0.11083743842364527,0.11964285714285713,0.13321167883211685",0.0030627943190559307,"-0.07407407407407414,-0.07038123167155431,-0.05797101449275354"
sh688281,0.003664027286153796,"0.10033375668251773,0.10377837161316512,0.11236515113753695",0.0029386290522147632,"-0.12136953955135775,-0.06924052927315558,-0.06233509234828489"
sh603606,0.0036575613632155476,"0.09385964912280705,0.09558030901904407,0.0987111448066718",0.0013601668200526893,"-0.10803816917354046,-0.09227941176470582,-0.08746478873239427"
sh688212,0.003651648207373135,"0.09670361726954485,0.10220440881763526,0.12760472610096665",0.004406983604711234,"-0.118103448275862,-0.11783783783783783,-0.10999999999999997"
sh600769,0.0036412900947453523,"0.09213483146067418,0.09551374819102751,0.099290780141844",0.0023683324920075635,"-0.09076433121019112,-0.07833537331701354,-0.06463878326996195"
sh601699,0.0036210121466102585,"0.07087912087912084,0.07154742096505838,0.07785888077858866",0.003782857466576058,"-0.10584958217270204,-0.10041265474552964,-0.06827545615067689"
sh688377,0.00359552718563638,"0.10358851674641145,0.11268675614079503,0.15167286245353154",0.0027044853151364117,"-0.14918478260869572,-0.08214285714285721,-0.07380715705765423"
sh601579,0.0035724909092874906,"0.11039603960396042,0.11304347826086952,0.11529592621060723",0.001594536504018473,"-0.10070493454179255,-0.084717607973422,-0.08232711306256861"
sh603363,0.003438877730941908,"0.09212410501193316,0.10389610389610399,0.10968819599109135",0.001871605172682662,"-0.11468144044321331,-0.1076203208556148,-0.10664229128580134"
