symbol,avg_real_change,top3_real_change,median_real_change,bottom3_real_change
sh603963,0.009148618011461867,"0.10382513661202195,0.1453125000000001,0.16768665850673195",0.0029498525073746993,"-0.08800000000000002,-0.08215962441314546,-0.08007279344858953"
sh603099,0.007339081255874538,"0.09709543568464729,0.10588574725908824,0.1073421111359072",0.008465252863980852,"-0.13015873015873008,-0.1095712429623214,-0.10667271901951873"
sh600171,0.006046001167463687,"0.11169566976932421,0.11560975609756102,0.12968917470525182",0.00435265164310182,"-0.09601219202438409,-0.09441860465116285,-0.09124087591240876"
sh600696,0.005354841297329284,"0.11469534050179202,0.11871227364185108,0.18150684931506844",0.000662251655629125,"-0.10931768158473955,-0.1015779092702169,-0.09956236323851204"
sh600811,0.005136855752269979,"0.11194029850746277,0.11242603550295856,0.11480362537764346",0.0,"-0.21381578947368432,-0.10869565217391307,-0.09130434782608694"
sh688256,0.004933506746019871,"0.11467699543505333,0.1622256870912941,0.16746717899455651",0.0023823919950680646,"-0.15716652051057192,-0.1357380952380952,-0.08635926993275705"
sh600843,0.004474281775270538,"0.11151515151515151,0.11266783420899007,0.13596914175506253",0.0037220843672456884,"-0.16133082234777152,-0.15860735009671187,-0.1404561824729892"
sh603389,0.004352358634575487,"0.10590277777777768,0.12363636363636359,0.12731481481481477",0.0042878414647597365,"-0.11137440758293855,-0.10000000000000014,-0.0919540229885057"
sh600608,0.004299401414093151,"0.0833333333333333,0.08823529411764702,0.09803921568627448",0.0023502054703724478,"-0.06405693950177925,-0.052132701421801105,-0.05205479452054793"
sh603007,0.004153806712003912,"0.05475040257648951,0.055555555555555455,0.09036144578313247",0.0011968182595733642,"-0.10511756569847852,-0.1046337817638265,-0.08078994614003593"
sh603988,0.004127044103042387,"0.09924242424242415,0.10447761194029849,0.11619396157365047",0.0009951251713304918,"-0.13719735876742473,-0.11488673139158576,-0.09779614325068871"
sh603023,0.004103193525412525,"0.09701492537313441,0.09782608695652159,0.13684210526315793",0.0,"-0.11445783132530131,-0.11262798634812274,-0.10924369747899151"
sh688631,0.0040909866711400815,"0.16037211885587344,0.17028951993340113,0.18285538082022817",0.00020804438280167225,"-0.15787937743190666,-0.13476190476190486,-0.12555555555555564"
sh603529,0.004075630263416581,"0.07728813559322038,0.090909090909091,0.100358422939068",0.0,"-0.0955088118249005,-0.056210030292830636,-0.05269461077844327"
sh605117,0.004022933032371636,"0.08470792508991688,0.09089072914562715,0.10036454773296881",-0.00031616009302655175,"-0.10804530932326456,-0.10061012082785017,-0.09651765272924455"
sh605179,0.003983358960947326,"0.11672862453531588,0.15310402684563754,0.156469408224674",0.0014154311792107543,"-0.08722109533468572,-0.086720867208672,-0.08568443051201674"
sh600686,0.003968881339633939,"0.09873949579831928,0.1123595505617977,0.11926605504587161",-0.0010699873001019107,"-0.12826086956521748,-0.11733800350262696,-0.10810810810810821"
sh600830,0.003963756256714252,"0.09589041095890405,0.10025062656641612,0.118546845124283",0.004134773100054587,"-0.18296892980437285,-0.1309751434034416,-0.10179640718562884"
sh600593,0.003948289983389606,"0.10810810810810811,0.10894020130254588,0.11473500291205604",0.005143670052671122,"-0.142365097588978,-0.13073575949367086,-0.11093333333333343"
sh600165,0.0039413130519517356,"0.09302325581395345,0.09999999999999998,0.15028901734104047",0.0,"-0.2222222222222222,-0.11111111111111106,-0.10747663551401868"
sh600898,0.003921449698006712,"0.08791208791208799,0.09090909090909087,0.09661835748792258",0.0,"-0.11214953271028026,-0.10476190476190464,-0.07831325301204826"
sh603499,0.0038858149061209548,"0.09084328628302563,0.09159727479182443,0.09241952232606425",0.004320383007489152,"-0.11097992916174727,-0.10543706818864518,-0.10369609856262832"
sh600101,0.00384238236647646,"0.10079051383399205,0.10190369540873462,0.11764705882352937",0.0032594646235692844,"-0.1111111111111111,-0.09243697478991593,-0.08620689655172424"
sh600611,0.003783471242134649,"0.10648148148148157,0.12476722532588452,0.127450980392157",0.0034424325733517407,"-0.2213592233009708,-0.10915492957746475,-0.10891089108910888"
sh603721,0.0037501864072706187,"0.10511363636363644,0.10969387755102034,0.12947761194029858",0.002964100733392102,"-0.12183668145056097,-0.10788863109048742,-0.10308101939901107"
