代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
sz399279,云科技50,3060.555,-110.929,-3.498,3171.484,3174.249,3175.406,3060.555,2621107068,83475983448
sz399280,生物50,1892.496,-10.264,-0.539,1902.76,1907.286,1922.584,1892.496,384433223,6123293237
sz399281,电子50,3332.065,-82.649,-2.42,3414.714,3413.988,3413.988,3332.065,2052061580,38557506065
sz399282,大数据50,4497.967,-143.946,-3.101,4641.913,4715.886,4724.238,4497.967,3150783460,72982734280
sz399283,机器人50,3381.409,-86.589,-2.497,3467.998,3474.674,3477.078,3381.409,1666849415,39435959817
sz399284,AI 50,3299.692,-82.393,-2.436,3382.085,3417.769,3420.489,3299.692,2831456917,69293357789
sz399285,物联网50,3958.369,-127.7,-3.125,4086.069,4079.02,4080.844,3958.369,2415522219,76992348275
sz399286,区块链50,3483.917,-34.74,-0.987,3518.657,3557.689,3566.243,3483.917,3600694785,59264097787
sz399290,深转交债,162.208,-0.458,-0.282,162.666,162.676,163.135,162.089,21356653,2717547898
sz399291,创精选88,3418.309,-83.586,-2.387,3501.895,3526.13,3532.594,3418.309,2157575103,34873696607
sz399292,民企发展,1022.538,-18.012,-1.731,1040.55,1045.325,1047.645,1022.538,5549490380,59171188563
sz399293,创业大盘,3912.476,-128.765,-3.186,4041.241,4027.07,4033.792,3912.476,1367868269,64184492069
sz399294,中小创Q,2718.011,-22.822,-0.833,2740.833,2740.012,2749.504,2718.011,1239063467,32294567575
sz399295,创价值,4446.434,-95.696,-2.107,4542.13,4542.972,4545.157,4446.429,1430701780,40294116520
sz399296,创成长,4423.706,-160.903,-3.51,4584.609,4550.274,4550.274,4423.706,2030525793,70199135156
sz399297,新浪100,4719.856,-23.844,-0.503,4743.7,4758.042,4793.103,4719.856,1671250241,11574055714
sz399298,深信中高,208.649,0.217,0.104,208.432,208.492,208.665,208.492,7360170,657757782
sz399299,深信中低,240.318,0.042,0.017,240.276,240.346,240.346,240.318,100000,10716970
sz399300,沪深300,3817.08,-15.784,-0.412,3832.864,3836.958,3851.997,3817.08,14667077200,282940127541
sz399301,深信用债,212.413,0.22,0.104,212.193,212.253,212.43,212.253,7360170,657757782
sz399302,深公司债,216.611,0.366,0.169,216.245,216.307,216.642,216.307,7360170,657757782
sz399303,国证2000,7434.541,-123.408,-1.633,7557.949,7575.882,7597.866,7434.541,30887420338,391846102558
sz399306,深证ETF,1416.548,-15.682,-1.095,1432.23,1433.617,1434.802,1416.548,49561962921,56682424440
sz399307,深证转债,298.439,-1.813,-0.604,300.252,300.261,300.957,298.135,150299497,21635903438
sz399310,国证A50,6219.751,-36.264,-0.58,6256.015,6261.443,6286.12,6219.751,3653362645,96137829129
sz399311,国证1000,3973.05,-24.985,-0.625,3998.035,4002.904,4017.112,3973.05,34117169201,509354981102
sz399312,国证300,4340.562,-25.722,-0.589,4366.284,4369.116,4385.377,4340.562,13164282575,279539290520
sz399313,巨潮100,4568.576,-6.185,-0.135,4574.761,4581.395,4603.493,4568.576,7523448641,140557634768
sz399314,巨潮大盘,4229.263,-14.8,-0.349,4244.063,4246.228,4263.756,4229.263,12598106538,226689097239
sz399315,巨潮中盘,3683.356,-35.199,-0.947,3718.555,3725.753,3734.819,3683.356,8454458124,136278036302
sz399316,巨潮小盘,4557.901,-53.094,-1.151,4610.995,4623.42,4638.531,4557.901,13064604539,146387847561
sz399317,国证Ａ指,5250.116,-47.18,-0.891,5297.296,5306.252,5324.133,5250.116,90528490239,1114037180859
sz399318,国证Ｂ指,5018.525,-1.747,-0.035,5020.272,5022.695,5036.733,5006.625,37418717,134002145
sz399319,资源优势,2288.579,9.539,0.419,2279.04,2279.521,2299.087,2279.521,3773246889,30348357606
sz399320,国证服务,2122.696,22.595,1.076,2100.101,2104.182,2131.734,2104.182,3906460334,29032794456
sz399321,国证红利,7198.576,52.356,0.733,7146.22,7161.239,7227.122,7161.239,4667377924,55670631258
sz399322,国证治理,8644.959,18.681,0.217,8626.278,8628.303,8690.731,8628.303,2997590117,61095081737
sz399324,深证红利,8447.098,28.924,0.344,8418.174,8428.731,8483.354,8422.314,1413177594,29671114740
sz399326,成长40,3928.337,-72.217,-1.805,4000.554,3990.034,4001.911,3928.337,1173686159,35669968462
sz399328,深证治理,9046.835,-49.817,-0.548,9096.652,9092.234,9126.233,9046.835,1491411809,36235655603
sz399330,深证100,4541.657,-58.379,-1.269,4600.036,4597.167,4611.983,4541.635,4374352926,123026016186
sz399333,中小100R,7550.894,-48.508,-0.638,7599.402,7607.113,7637.038,7550.894,3046693727,58720815651
sz399335,深证央企,3692.816,-16.773,-0.452,3709.589,3729.046,3742.598,3692.695,1518738803,23852305420
sz399337,深证民营,4496.022,-88.123,-1.922,4584.145,4573.264,4587.092,4496.022,3301250907,111737930706
sz399339,深证科技,6770.8,-147.972,-2.139,6918.772,6920.456,6930.169,6770.8,3753361179,115722019279
sz399341,深证责任,1454.649,-4.927,-0.338,1459.576,1460.863,1468.071,1454.649,2507215505,51642205815
sz399344,深证300R,5540.631,-66.939,-1.194,5607.57,5611.492,5628.905,5540.631,9615567138,204488675935
sz399346,深证成长,2960.718,-35.231,-1.176,2995.949,2996.023,3010.064,2960.711,2216369662,57601452002
sz399348,深证价值,5900.635,-0.471,-0.008,5901.106,5907.981,5943.083,5900.635,4307030174,51738258484
sz399350,皖江30,2117.144,-15.101,-0.708,2132.245,2146.108,2149.11,2117.144,1072781456,14383077397
sz399351,创新示范,8676.985,-151.889,-1.72,8828.874,8831.453,8854.466,8676.985,3778806446,76007977864
sz399352,深企综指,8639.188,-155.91,-1.773,8795.098,8801.245,8820.109,8639.188,7554934102,136472714127
sz399353,国证物流,2103.735,6.281,0.299,2097.454,2100.386,2116.749,2100.307,1733921447,12750653354
sz399354,分析师指数,7067.549,1.694,0.024,7065.855,7067.256,7109.095,7067.256,6049099282,124208993375
sz399355,长三角,3164.308,-26.291,-0.824,3190.599,3193.513,3205.665,3164.308,1989557360,43903302370
sz399356,珠三角,9117.425,-63.94,-0.696,9181.365,9190.543,9223.016,9117.425,2275753646,48465253399
sz399357,环渤海,2897.837,16.39,0.569,2881.447,2882.517,2912.455,2882.517,4012488312,45693947389
sz399358,国证环保,4249.508,-25.27,-0.591,4274.778,4276.618,4308.806,4249.508,1743196027,27488060219
sz399359,国证基建,2730.684,37.333,1.386,2693.351,2699.456,2740.06,2699.456,2741831258,20455350306
sz399360,新硬件,5778.224,-130.073,-2.202,5908.297,5946.493,5946.962,5778.224,4275527766,104903096477
sz399361,在线消费,3228.046,-22.688,-0.698,3250.734,3296.612,3302.916,3228.046,2789816039,35433918033
sz399362,民企100,6273.088,-103.858,-1.629,6376.946,6360.566,6382.953,6273.088,3625199571,130613326685
sz399363,国证算力,5042.597,-197.365,-3.767,5239.962,5216.618,5216.809,5041.576,2389024784,101050093025
sz399364,消费100,8180.256,-107.204,-1.294,8287.46,8283.27,8292.968,8180.256,4116317123,145061532870
sz399365,国证粮食,11351.953,80.748,0.716,11271.205,11300.204,11448.441,11300.204,751012110,8724499946
sz399366,能源金属,1447.512,-17.957,-1.225,1465.469,1466.558,1478.51,1447.512,1256130534,13696453978
sz399367,1000地产,2595.126,-35.991,-1.368,2631.117,2634.034,2664.787,2595.126,873811879,5685409060
sz399368,国证军工,6690.013,-77.115,-1.14,6767.128,6785.479,6817.732,6690.013,673363879,14623679971
sz399369,国证责任,1441.478,-0.639,-0.044,1442.117,1444.099,1451.91,1441.478,2412445960,49071813470
sz399370,国证成长,3790.357,-38.448,-1.004,3828.805,3828.893,3845.521,3790.357,8675074113,177874806693
sz399371,国证价值,6364.521,49.441,0.783,6315.08,6330.542,6391.44,6330.542,14111480210,117167760019
sz399372,大盘成长,3954.897,-40.956,-1.025,3995.853,3995.553,4012.223,3954.728,3559372531,86271697512
sz399373,大盘价值,7866.321,77.004,0.989,7789.317,7809.324,7897.635,7809.324,5385538660,56019944021
sz399374,中盘成长,3548.571,-28.17,-0.788,3576.741,3575.203,3592.65,3548.562,2128788807,42906090144
sz399375,中盘价值,4945.95,21.754,0.442,4924.196,4928.916,4975.922,4928.916,3663535023,27625375416
sz399376,小盘成长,4504.601,-54.482,-1.195,4559.083,4563.498,4584.454,4504.601,2986912775,48697019036
sz399377,小盘价值,6338.705,21.977,0.348,6316.728,6340.243,6406.022,6338.705,5062406527,33522440582
sz399378,ESG 300,2355.952,-10.128,-0.428,2366.08,2368.858,2378.744,2355.952,12046507472,220330445590
sz399379,国证基金,7385.187,-50.301,-0.676,7435.488,7446.619,7457.3,7385.187,134783481537,179988965587
sz399380,国证ETF,1453.295,-10.865,-0.742,1464.16,1466.484,1468.669,1453.295,133985956360,178479418782
sz399381,1000能源,2918.796,33.636,1.166,2885.16,2887.939,2925.959,2886.319,1589941424,9753964966
sz399382,1000材料,2412.287,14.798,0.617,2397.489,2399.948,2431.98,2399.948,4442938442,41822698337
sz399383,1000工业,2317.96,-20.218,-0.865,2338.178,2339.724,2352.736,2317.96,5836839229,75822955984
sz399384,1000可选,3850.088,-6.489,-0.168,3856.577,3863.306,3880.71,3850.088,3389109615,47615608670
sz399385,1000消费,9445.865,-8.28,-0.088,9454.145,9456.646,9522.744,9440.963,937168046,21363285276
sz399386,1000医药,5281.884,-0.035,-0.001,5281.919,5289.857,5343.047,5281.884,799892475,19229093300
sz399387,1000金融,5065.792,-12.427,-0.245,5078.219,5093.237,5126.771,5065.792,7096568631,66079100262
sz399388,1000信息,4540.219,-109.07,-2.346,4649.289,4660.423,4662.162,4540.219,6326219167,169082579101
sz399389,国证通信,4444.073,-172.705,-3.741,4616.778,4563.449,4563.449,4444.073,2377604328,66780673707
sz399390,1000公用,2522.866,39.199,1.578,2483.667,2488.586,2533.339,2488.586,1733573413,12665641300
sz399391,投资时钟,3048.993,6.906,0.227,3042.087,3048.284,3066.856,3045.778,3310081956,44809364225
sz399392,国证新兴,2346.822,-24.714,-1.042,2371.536,2372.365,2380.346,2346.822,5758699810,154514474625
sz399393,国证地产,3000.155,-36.449,-1.2,3036.604,3039.081,3077.44,3000.155,1663187655,8540392625
sz399394,国证医药,7827.259,6.651,0.085,7820.608,7831.693,7912.992,7827.259,635736839,17707076873
sz399395,国证有色,5230.515,-14.521,-0.277,5245.036,5237.882,5286.631,5223.187,1634707559,19795028410
sz399396,国证食品,18371.777,-19.018,-0.103,18390.795,18395.182,18521.219,18354.805,370570149,16540437356
sz399397,国证文化,1940.99,-11.204,-0.574,1952.194,1970.144,1974.251,1940.99,3733573575,44557006578
sz399398,绩效指数,10017.628,-15.978,-0.159,10033.606,10048.083,10102.344,10017.628,1410815043,44035318995
sz399399,中经GDP,6816.391,1.716,0.025,6814.675,6831.403,6859.872,6816.391,12749695756,180679707269
sz399400,大中盘,3403.337,-17.382,-0.508,3420.719,3423.764,3436.348,3403.337,21052564662,362967133541
sz399401,中小盘,3689.194,-38.757,-1.04,3727.951,3736.453,3746.662,3689.194,21519062663,282665883863
sz399402,周期100,2982.799,-25.74,-0.856,3008.539,3010.396,3025.682,2982.799,5097867914,83626689561
sz399403,防御100,7162.745,-53.145,-0.736,7215.89,7198.673,7227.549,7162.745,2418505881,65589714485
sz399404,大盘低波,6408.877,83.141,1.314,6325.736,6337.075,6427.674,6337.075,4343660165,42645176334
sz399405,大盘高贝,2183.487,-52.028,-2.327,2235.515,2230.539,2238.841,2183.393,2630187159,101267661556
sz399406,中盘低波,12137.308,62.599,0.518,12074.709,12087.701,12218.411,12087.701,2589000877,22011514978
sz399407,中盘高贝,2150.24,-44.487,-2.027,2194.727,2199.224,2202.287,2150.24,2664256448,75090089754
sz399408,小盘低波,13389.414,67.878,0.51,13321.536,13341.466,13510.957,13341.466,4025416474,22946213438
sz399409,小盘高贝,4538.104,-115.332,-2.478,4653.436,4666.485,4673.959,4538.104,3974437961,72701491393
sz399410,苏州率先,1807.346,-63.6,-3.399,1870.946,1852.515,1855.055,1807.346,583092287,17455691604
sz399411,红利100,3410.174,32.107,0.95,3378.067,3381.382,3422.971,3380.249,4217317452,35336348891
sz399412,国证新能,2190.912,-32.009,-1.44,2222.921,2222.824,2238.587,2190.912,1685455398,32957038328
sz399413,国证转债,156.13,-0.627,-0.4,156.757,156.812,157.192,156.041,290123797,42577831719
sz399415,I100,5733.96,-18.536,-0.322,5752.496,5758.548,5785.513,5733.96,4435902629,79723420115
sz399416,I300,3444.603,-41.121,-1.18,3485.724,3490.086,3505.87,3444.603,2416195890,42570379061
sz399417,新能源车,2592.283,-42.241,-1.603,2634.524,2632.787,2645.695,2592.283,976473815,30868394906
sz399418,数据要素,3664.542,-45.998,-1.24,3710.54,3781.596,3786.114,3664.542,2570087955,65458358681
sz399419,国证高铁,1782.148,-9.264,-0.517,1791.412,1794.422,1802.365,1781.435,1133192526,11541010932
sz399420,国证保证,1359.172,-27.464,-1.981,1386.636,1390.06,1390.76,1359.172,1763167264,28610992125
sz399422,中关村A,2871.493,-31.419,-1.082,2902.912,2915.821,2919.808,2871.493,8411756086,109755917307
sz399423,中关村50,2325.324,-36.079,-1.528,2361.403,2361.832,2364.098,2325.324,1378706139,32226783603
sz399428,国证定增,2847.154,-44.279,-1.531,2891.433,2901.964,2909.652,2847.154,1627138388,23386485842
sz399429,新丝路,1250.545,-4.362,-0.348,1254.907,1256.376,1264.662,1250.523,1827006405,18275734407
sz399431,国证银行,7498.364,103.202,1.396,7395.162,7418.136,7527.562,7418.136,3209940685,24116609930
sz399432,智能汽车,4574.302,-77.534,-1.667,4651.836,4660.396,4666.962,4574.302,1129410903,37371897576
sz399433,国证交运,1658.095,8.882,0.539,1649.213,1651.664,1667.685,1651.664,1874950387,13238579371
sz399434,数字传媒,1812.132,-1.243,-0.069,1813.375,1845.339,1852.65,1811.884,3303945602,32761360250
sz399435,国证农牧,3537.469,25.958,0.739,3511.511,3519.267,3574.155,3519.267,755345605,6341498469
sz399436,绿色煤炭,3843.755,31.306,0.821,3812.449,3821.0,3864.635,3821.0,1099539635,5667494892
sz399437,证券龙头,6059.374,-149.3,-2.405,6208.674,6225.71,6226.201,6059.374,1481829267,23638746774
sz399438,绿色电力,1895.778,21.406,1.142,1874.372,1877.881,1905.019,1877.881,1744800238,13078390934
sz399439,国证油气,1663.786,12.741,0.772,1651.045,1651.425,1670.681,1651.425,1492930956,10609461109
sz399440,国证钢铁,1143.731,13.161,1.164,1130.57,1130.751,1153.726,1130.751,1753379392,7371159823
sz399441,生物医药,1954.292,-7.243,-0.369,1961.535,1966.238,1982.139,1954.286,210689742,5708973381
sz399481,企债指数,127.874,0.022,0.017,127.852,127.853,127.876,127.853,9604170,880310157
sz399550,央视50,7207.737,28.284,0.394,7179.453,7206.927,7243.053,7199.441,2268732629,47604897439
sz399551,央视创新,7865.982,-141.227,-1.764,8007.209,8054.748,8057.938,7865.982,1570189751,44322780923
sz399552,央视成长,8007.115,38.626,0.485,7968.489,7988.107,8045.469,7988.107,1931805344,38217975136
sz399553,央视回报,6708.166,-10.075,-0.15,6718.241,6715.114,6762.319,6708.166,727074224,23971472158
sz399554,央视治理,7052.319,27.848,0.396,7024.471,7050.59,7090.608,7045.125,2498195867,41257346717
sz399555,央视责任,5050.948,16.335,0.324,5034.613,5055.886,5081.046,5050.079,2939299502,38130223530
sz399556,央视生态,2283.32,-10.364,-0.452,2293.684,2294.357,2308.645,2283.32,1897391390,33246268950
sz399557,央视文化,1614.133,-13.829,-0.849,1627.962,1643.484,1646.653,1614.133,3733573575,44557006578
sz399602,中小成长,953.317,-11.8,-1.223,965.117,962.13,967.254,953.317,2593869635,45397413732
sz399604,中小价值,1792.649,-1.261,-0.07,1793.91,1795.504,1808.887,1792.649,3086713995,28328275859
sz399606,创业板R,2260.184,-63.539,-2.734,2323.723,2320.799,2325.156,2260.184,2528978726,88950540831
sz399608,科技100,2931.048,-64.596,-2.156,2995.644,2994.413,2998.853,2931.048,2793771715,89687208582
sz399610,TMT50,6055.986,-179.525,-2.879,6235.511,6230.053,6231.168,6055.986,2633185723,88326548873
sz399611,中创100R,2220.219,-38.922,-1.723,2259.141,2256.891,2262.462,2220.219,3153508751,103264438931
sz399612,中创100,1908.472,-34.027,-1.752,1942.499,1939.995,1944.784,1908.472,3153508751,103264438931
sz399613,深证能源,2867.179,22.511,0.791,2844.668,2849.245,2885.146,2849.245,232390416,1748806127
sz399614,深证材料,2456.577,9.909,0.405,2446.668,2450.117,2485.49,2450.117,2268654242,24459867825
sz399615,深证工业,2961.286,-47.987,-1.595,3009.273,3006.664,3022.649,2961.286,2976097004,55908418527
sz399616,深证可选,6051.565,-17.766,-0.293,6069.331,6090.642,6114.224,6051.565,2971908725,35550712312
sz399617,深证消费,9026.193,17.008,0.189,9009.185,9003.848,9089.062,9003.848,282835592,7143349493
sz399618,深证医药,7813.611,-5.911,-0.076,7819.522,7832.702,7909.451,7813.305,494284425,11107284134
sz399619,深证金融,6502.91,-89.568,-1.359,6592.478,6611.749,6641.309,6502.91,1465190459,19946530999
sz399620,深证信息,4166.658,-101.811,-2.385,4268.469,4286.826,4289.2,4166.658,5583414502,123087304487
sz399621,深证电信,5079.596,-342.922,-6.324,5422.518,5302.058,5302.058,5079.596,835934782,38446834078
sz399622,深证公用,1582.859,16.493,1.053,1566.366,1570.516,1591.533,1570.516,544577470,2984241239
sz399623,中小基础,6889.249,-79.247,-1.137,6968.496,6967.405,6991.998,6889.249,9902789527,132864360101
sz399624,中创400,1904.809,-38.693,-1.991,1943.502,1947.349,1951.261,1904.809,10584983487,152320914643
sz399625,中创500,1734.384,-32.881,-1.861,1767.265,1767.555,1771.192,1734.384,13738492238,255585353574
sz399626,中创成长,1359.366,-24.151,-1.746,1383.517,1383.157,1387.698,1359.366,3066810745,78120206978
sz399627,中创价值,2068.113,-8.585,-0.413,2076.698,2079.734,2090.582,2068.113,4256890911,51334090666
sz399628,700成长,1802.998,-40.135,-2.178,1843.133,1838.954,1843.768,1802.998,3883274866,70974418107
sz399629,700价值,2448.146,-14.975,-0.608,2463.121,2470.326,2486.025,2448.146,5078699526,38178396047
sz399630,1000成长,1239.024,-21.834,-1.732,1260.858,1259.14,1263.907,1239.024,6935756109,157330846852
sz399631,1000价值,2007.037,-1.65,-0.082,2008.687,2012.377,2024.988,2007.037,9268969908,94305104091
sz399632,深100EW,4185.627,-43.4,-1.026,4229.027,4225.643,4241.279,4185.571,4374352926,123026016186
sz399633,深300EW,4667.986,-41.052,-0.872,4709.038,4717.156,4734.943,4667.986,9615567138,204488675935
sz399634,中小等权,3190.671,-17.609,-0.549,3208.28,3211.199,3227.65,3190.671,3046693727,58720815651
sz399635,创业板EW,1487.094,-32.889,-2.164,1519.983,1522.011,1523.745,1487.094,2528978726,88950540831
sz399636,深证装备,4739.743,-125.343,-2.576,4865.086,4842.318,4856.69,4739.743,2316039519,66055762031
sz399637,深证地产,1641.471,-19.922,-1.199,1661.393,1655.457,1686.568,1641.471,914155208,4104376918
sz399638,深证环保,5021.041,-69.019,-1.356,5090.06,5093.161,5131.515,5021.041,887605412,18741077824
sz399639,深证大宗,1527.857,9.996,0.659,1517.861,1518.855,1541.992,1518.855,1247553200,13112461566
sz399640,创业基础,2026.159,-53.324,-2.564,2079.483,2083.096,2086.091,2026.159,12320803166,247974322162
sz399641,深证新兴,2033.626,-35.993,-1.739,2069.619,2070.012,2074.088,2033.626,6255422328,168056440800
sz399642,中小新兴,1682.188,-22.496,-1.32,1704.684,1704.227,1708.05,1682.188,3715353955,63570334706
sz399643,创业新兴,2529.302,-77.295,-2.965,2606.597,2603.68,2606.764,2529.302,3004934993,96537540797
sz399644,深证时钟,3261.014,-8.467,-0.259,3269.481,3273.251,3290.029,3261.014,2463352373,29087189854
sz399645,100低波,8797.45,58.985,0.675,8738.465,8751.103,8850.982,8751.103,1933007079,28929158401
sz399646,深消费50,7476.263,1.04,0.014,7475.223,7480.408,7528.678,7474.517,1160989400,24974238576
sz399647,深医药50,7635.899,-6.752,-0.088,7642.651,7654.084,7731.785,7635.899,486688242,10373271176
sz399648,深证GDP,10241.81,-14.089,-0.137,10255.899,10271.408,10360.927,10241.81,4485827269,85840620096
sz399649,中小红利,2625.39,0.078,0.003,2625.312,2624.173,2647.328,2624.173,1202600202,11377497196
sz399650,中小治理,2050.705,-23.983,-1.156,2074.688,2064.463,2070.335,2050.705,772253928,19364131843
sz399651,中小责任,1421.063,-6.294,-0.441,1427.357,1425.842,1434.794,1421.063,974548678,21082068598
sz399652,中创高新,2977.349,-48.353,-1.598,3025.702,3067.471,3071.704,2977.194,1101691261,32679761395
sz399653,深证龙头,2392.189,-23.962,-0.992,2416.151,2416.596,2426.047,2392.189,2268043068,60910819200
sz399654,深证文化,2442.573,-19.131,-0.777,2461.704,2492.591,2501.168,2442.573,4460062849,53643132887
sz399655,深证绩效,9852.693,-65.081,-0.656,9917.774,9922.462,9968.418,9852.693,1422790435,41909475328
sz399656,100绩效,5409.369,-54.603,-0.999,5463.972,5446.641,5469.106,5409.369,4374352926,123026016186
sz399657,300绩效,5611.451,-31.461,-0.558,5642.912,5646.328,5672.261,5611.451,9615567138,204488675935
sz399658,中小绩效,3730.828,-14.35,-0.383,3745.178,3743.375,3769.922,3730.828,3046693727,58720815651
sz399659,深成指EW,3562.339,-39.876,-1.107,3602.215,3607.702,3621.022,3562.339,16080694207,282138212859
sz399660,中创EW,1934.123,-26.352,-1.344,1960.475,1959.485,1963.6,1934.123,3153508751,103264438931
sz399661,深证低波,5238.128,38.652,0.743,5199.476,5207.146,5272.906,5207.146,3057806525,37940363839
sz399662,深证高贝,1567.57,-39.782,-2.475,1607.352,1610.273,1612.855,1567.57,2863442078,102512759305
sz399663,中小低波,1699.017,7.05,0.417,1691.967,1694.682,1713.982,1694.682,1967560426,21138569047
sz399664,中小高贝,1035.92,-27.086,-2.548,1063.006,1061.138,1064.854,1035.92,3156805157,52369837171
sz399665,中创低波,1879.738,-2.559,-0.136,1882.297,1884.545,1899.114,1879.738,4901644041,62274759281
sz399666,中创高贝,1398.993,-41.417,-2.875,1440.41,1443.712,1446.039,1398.993,5841807183,144762326757
sz399667,创业成长,3171.673,-111.022,-3.382,3282.695,3267.627,3268.44,3171.673,1942273166,73257846569
sz399668,创业板V,3953.634,-62.617,-1.559,4016.251,4028.389,4040.934,3953.634,2429214719,42986360811
sz399669,深证农业,7409.477,26.438,0.358,7383.039,7392.009,7472.076,7392.009,722959915,13351138413
sz399670,深周期50,3177.316,-53.44,-1.654,3230.756,3226.725,3241.68,3177.316,2363447490,43506856579
sz399671,深防御50,6803.927,-118.037,-1.705,6921.964,6878.093,6906.182,6803.927,1253001570,41810419413
sz399672,深红利50,3828.256,17.161,0.45,3811.095,3813.457,3861.423,3812.482,1041886166,9367739201
sz399673,创业板50,2072.445,-66.581,-3.113,2139.026,2134.546,2138.301,2072.445,1766247441,73752274113
sz399674,深A医药,1710.556,-3.535,-0.206,1714.091,1717.734,1733.582,1710.556,1638158943,20688015034
sz399675,深互联网,2876.611,-52.354,-1.787,2928.965,2985.181,2993.387,2876.611,5722364605,102928864953
sz399676,深医药EW,2866.031,-6.882,-0.24,2872.913,2881.611,2911.958,2866.031,1638158943,20688015034
sz399677,深互联EW,4593.915,-54.366,-1.17,4648.281,4736.913,4756.263,4590.67,5722364605,102928864953
sz399678,深次新股,449.823,-9.635,-2.097,459.458,460.179,461.563,449.823,293035866,10857169130
sz399679,深证200R,4403.946,-48.029,-1.079,4451.975,4465.56,4478.288,4403.946,5241214212,81462659749
sz399680,深成能源,643.127,8.011,1.261,635.116,636.532,645.585,636.427,149590524,1222035501
sz399681,深成材料,848.535,5.485,0.651,843.05,844.335,857.896,844.335,1885459807,19939944378
sz399682,深成工业,1347.095,-20.352,-1.488,1367.447,1366.446,1374.365,1347.095,2338194086,43933758063
sz399683,深成可选,1765.535,-2.446,-0.138,1767.981,1772.166,1780.49,1765.535,2246917384,25747703966
sz399684,深成消费,1812.03,1.345,0.074,1810.685,1810.884,1826.121,1810.527,357020716,8293558855
sz399685,深成医药,1584.473,-1.907,-0.12,1586.38,1588.586,1604.26,1584.473,546121520,11116695302
sz399686,深成金融,1989.746,-43.948,-2.161,2033.694,2038.175,2045.917,1989.746,2238684760,23472492145
sz399687,深成信息,2789.125,-65.394,-2.291,2854.519,2868.062,2869.344,2789.125,4899656809,111309765140
sz399688,深成电信,2478.663,-179.201,-6.742,2657.864,2592.229,2592.229,2478.663,603468037,32141814322
sz399689,深成公用,801.527,8.83,1.114,792.697,794.831,805.606,794.831,492109720,2625171208
sz399692,创业低波,3137.466,-29.776,-0.94,3167.242,3175.656,3187.613,3137.466,1618989654,31591327654
sz399693,安防产业,4023.879,-77.533,-1.89,4101.412,4132.607,4147.466,4023.86,1413166355,25374291003
sz399694,创业高贝,2980.838,-83.59,-2.728,3064.428,3084.775,3091.65,2980.838,3572325283,89625272293
sz399695,深证节能,2015.707,-28.182,-1.379,2043.889,2047.806,2058.705,2015.707,2012755319,34640299961
sz399696,深证创投,2574.042,-72.819,-2.751,2646.861,2653.534,2654.597,2573.959,4015726498,66761494245
sz399697,中关村60,2867.639,-55.92,-1.913,2923.559,2961.995,2966.284,2867.639,2468634540,33561392242
sz399698,优势成长,39439.48,-251.739,-0.634,39691.219,39701.754,40310.887,39437.992,328616753,4942247089
sz399699,金融科技,3693.595,-104.595,-2.754,3798.19,3843.364,3850.676,3693.595,2811695252,64441735915
sz399701,深证F60,7438.459,-12.889,-0.173,7451.348,7454.382,7513.925,7438.459,3786894309,62931205611
sz399702,深证F120,6713.952,-14.632,-0.217,6728.584,6735.309,6786.208,6713.952,5878081316,95742479861
sz399703,深证F200,6493.548,-17.768,-0.273,6511.316,6519.979,6566.803,6493.548,7549252246,120191210805
sz399704,深证上游,4002.058,-18.828,-0.468,4020.886,4017.811,4056.012,4002.058,1073165480,12798339735
sz399705,深证中游,2810.816,-57.116,-1.992,2867.932,2861.552,2868.367,2810.796,4390250086,110315536477
sz399706,深证下游,5286.703,-17.202,-0.324,5303.905,5324.486,5337.839,5286.703,2769248229,66849076968
sz399707,CSSW证券,5915.036,-161.062,-2.651,6076.098,6088.542,6091.185,5915.036,2703487682,31499705395
sz399750,深主板50,8191.003,-12.069,-0.147,8203.072,8218.395,8254.947,8191.003,2755235371,50697615875
sz399802,500深市,4933.332,-64.063,-1.282,4997.395,5012.652,5025.906,4933.332,6266666097,86444681326
sz399803,工业4.0,3793.966,-108.93,-2.791,3902.896,3904.057,3906.209,3793.966,2244503277,59873231624
sz399804,中证体育,1503.597,-5.078,-0.337,1508.675,1516.794,1520.906,1501.213,976168038,11745781585
sz399805,互联金融,3073.493,-73.589,-2.338,3147.082,3177.754,3189.089,3073.493,3070219770,52918186404
sz399806,环境治理,1121.488,0.445,0.04,1121.043,1123.373,1136.574,1120.245,810512359,5071579153
sz399807,高铁产业,1284.81,4.653,0.363,1280.157,1283.333,1293.245,1283.333,970917875,6824730306
sz399808,中证新能,1869.123,-21.858,-1.156,1890.981,1890.265,1908.57,1869.123,1716672916,30463872707
sz399809,保险主题,2125.514,-5.29,-0.248,2130.804,2139.422,2159.306,2124.746,2291331734,19851760132
sz399810,CSSW传媒,2578.024,-0.218,-0.008,2578.242,2612.996,2623.235,2575.024,4032335031,43816786737
sz399811,CSSW电子,3607.658,-100.688,-2.715,3708.346,3691.877,3692.101,3607.658,3044453835,96036462220
sz399812,养老产业,5771.656,-7.151,-0.124,5778.807,5784.503,5830.71,5771.656,1400317329,23635462625
sz399813,中证国安,5610.458,-92.788,-1.627,5703.246,5744.01,5756.444,5610.458,4231701399,73101125102
sz399814,大农业,987.874,7.246,0.739,980.628,983.002,996.128,983.002,766167070,12360364395
sz399850,深证50,7093.361,-94.789,-1.319,7188.15,7189.525,7209.866,7093.361,2902914262,88356355461
