symbol,avg_real_change,top3_real_change,median_real_change,bottom3_real_change
sz002136,0.005350212377657576,"0.09602425876010787,0.10265151515151505,0.11263916175507524",0.005921052631578938,"-0.1105590062111802,-0.10509697789806036,-0.10493827160493824"
sz002225,0.005158735864302258,"0.10585141354372131,0.11099137931034476,0.11491791577444678",0.00423131170662909,"-0.11111111111111106,-0.10869565217391304,-0.10249042145593873"
sz002102,0.004864889857620211,"0.09896432681242802,0.10184182015167945,0.1063274624918461",0.004725897920604814,"-0.1090909090909091,-0.1013133208255159,-0.0847665847665847"
sz300182,0.00457114050283792,"0.0594944512946979,0.06115826260609093,0.10514285714285723",0.0032667776042238196,"-0.08603624181513637,-0.05490612823237693,-0.05016501650165015"
sz000656,0.004057462986941639,"0.06744604316546764,0.08906030855539969,0.09058614564831258",0.003428493107769527,"-0.06562193927522036,-0.06296296296296294,-0.06201550387596891"
sz000752,0.0039411421458808455,"0.09778988798062369,0.0988372093023256,0.10036925142665319",0.004352886944917484,"-0.1115255501678479,-0.10082961072112318,-0.08834355828220844"
sz000928,0.003833635233096799,"0.08533184606804245,0.09285714285714283,0.10502958579881656",0.005037137259876255,"-0.11643330876934414,-0.08318098720292506,-0.07372986369268883"
sz002445,0.003805644738408508,"0.07521773555027705,0.07824427480916032,0.09655172413793106",0.003344481605351099,"-0.06332703213610585,-0.059917355371900835,-0.05700483091787439"
sz300166,0.003728936667803549,"0.059279279279279264,0.08909952606635077,0.10068770939869513",0.002594594594594693,"-0.06650041562759773,-0.0635149023638233,-0.05496921723834653"
sz002059,0.0036027326419958354,"0.09810387469084923,0.0982211910286156,0.10424354243542426",0.00493421052631583,"-0.08717105263157898,-0.08402489626556021,-0.08262910798122072"
sz002034,0.0034697056016049486,"0.09850275807722617,0.10188087774294663,0.10473186119873819",0.0038910726939687095,"-0.09674543022737413,-0.08176795580110499,-0.06313993174061451"
sz002173,0.0033861802846911395,"0.09561510353227783,0.10851202079272254,0.11225616488774386",0.0026690391459074166,"-0.10208333333333337,-0.09626719056974464,-0.08810240963855422"
sz002532,0.003244074242562993,"0.0974397216007953,0.09779735682819395,0.0992534036012296",0.005038387715930922,"-0.0981210855949897,-0.09029345372460505,-0.0900900900900901"
sz000011,0.0031951016489197826,"0.09090909090909093,0.092526690391459,0.10147058823529405",0.002352885911974761,"-0.10546139359698692,-0.07545454545454545,-0.07183364839319469"
sz002233,0.0031014603509286563,"0.09104938271604936,0.09112519809825663,0.09999999999999995",0.0015541070674150866,"-0.08062827225130903,-0.06524633821571241,-0.060425531914893686"
sz300127,0.0030690258001544505,"0.0986964618249535,0.10405532851304618,0.11184451778511187",0.0037512747700723568,"-0.09614740368509203,-0.08356545961002786,-0.0827184466019417"
sz000626,0.00305342572116427,"0.09090909090909093,0.11869666408068279,0.12931034482758624",0.0048088707998981475,"-0.08928571428571429,-0.08075117370892013,-0.07692307692307704"
sz002234,0.002952381208754533,"0.08478964401294502,0.08793264733395692,0.08918322295805738",0.005967604433077603,"-0.1382113821138212,-0.09518518518518519,-0.0867924528301887"
sz000035,0.002936069481467145,"0.05160390516039053,0.05177111716621256,0.05288852725793331",0.0038071065989846906,"-0.07743153918791315,-0.05447070914696807,-0.05445026178010466"
sz002029,0.0029181733685219777,"0.048876404494382075,0.05331376864759109,0.1392370572207085",0.0024147727272727177,"-0.04318181818181824,-0.03841059602649007,-0.03476206547418161"
sz002397,0.00291708433508612,"0.0471105527638191,0.0483180428134556,0.048543689320388286",0.0029753854476602497,"-0.08395061728395058,-0.0568840579710145,-0.056756756756756795"
sz002160,0.0028894798693901583,"0.09545454545454544,0.09630319975147555,0.10172228202368122",0.00211467625260743,"-0.11613774476704933,-0.09783845278725839,-0.08854166666666663"
sz300183,0.002883078404219351,"0.057501904036557555,0.06634909833276623,0.07184000000000003",0.0022403258655804364,"-0.08093398876404494,-0.05162211793511516,-0.044979079497908074"
sz000595,0.002862908275185476,"0.09990999099909986,0.10828025477707015,0.11132812500000006",0.0019493177387913815,"-0.07219512195121953,-0.0633223684210526,-0.058548009367681494"
sz300058,0.002859562729310924,"0.05975569494882796,0.06008727760993619,0.06462668298653612",0.0027941633033219454,"-0.0746417860713095,-0.06,-0.05574587355963872"
sz002182,0.002834780117343703,"0.10249784668389315,0.10365296803652967,0.11072664359861589",0.00479244118636445,"-0.09435707678075851,-0.09210526315789472,-0.08702928870292881"
sz300004,0.0027866954299828454,"0.06894484412470027,0.06939742721733246,0.07385740402193795",0.003263126668644302,"-0.08449612403100774,-0.06904843696324292,-0.053860640301318256"
sz002146,0.0027759802988863618,"0.06960556844547561,0.0724029380902413,0.08762541806020059",0.004763246945317788,"-0.10426110607434275,-0.09790209790209803,-0.06995003568879375"
sz300115,0.0027676999097313673,"0.06717791411042949,0.07292225201072403,0.08401577191386107",0.002585139936918587,"-0.10921366163621922,-0.05801646413171293,-0.05793991416309019"
sz000803,0.0026817914285553403,"0.08906882591093125,0.0943396226415094,0.11011638316920326",0.0024690693320357513,"-0.10785241248817413,-0.07719298245614035,-0.07631578947368423"
sz002311,0.00266103411667725,"0.05129913391072616,0.05505804311774462,0.05953635405690195",0.002424075188975832,"-0.059063893016344717,-0.04875482286916861,-0.03528773072747006"
sz002549,0.0026449045840101237,"0.05395417590539553,0.05774946921443734,0.09462857142857144",0.0,"-0.05809523809523804,-0.05723006486074017,-0.04582043343653264"
sz000056,0.0026441784057753106,"0.0915275200989488,0.09211318482841659,0.10866202629543692",0.004601382530906047,"-0.10702524698133935,-0.10017889087656538,-0.09343434343434351"
sz002236,0.002623125132329266,"0.05749354005167962,0.06944166499899938,0.0884615384615385",0.0019914651493598942,"-0.05632096896290687,-0.05598507064782729,-0.051251840942562646"
sz000563,0.0025648365460730995,"0.0697167755991286,0.08522283033620015,0.09919028340080976",0.004219409282700332,"-0.06991358994501169,-0.06852589641434258,-0.06325060048038438"
