symbol,avg_real_change,top3_real_change,median_real_change,bottom3_real_change
sz002041,0.005094142799490056,"0.11798839458413929,0.12178619756427599,0.12212504049238741",0.0034582132564842808,"-0.10326933056564619,-0.10060514372163389,-0.1"
sz000955,0.004697151822602018,"0.11259541984732821,0.11272727272727275,0.12824207492795384",0.004347826086956622,"-0.17019543973941367,-0.14354838709677428,-0.1292307692307692"
sz000713,0.004295743832511903,"0.11501272264631034,0.12155260469867207,0.12715964063579818",0.0023682652457075737,"-0.11497584541062815,-0.10800970873786414,-0.10328638497652592"
sz002178,0.0030764783806191136,"0.09871244635193135,0.10250569476082019,0.11063218390804591",0.008570379273504269,"-0.1521739130434783,-0.10858585858585852,-0.1027777777777778"
sz000566,0.002702614411809904,"0.10430009149130838,0.10688140556368966,0.10828025477707015",0.006989050352098401,"-0.13564668769716093,-0.12302070645554199,-0.11444652908067549"
sz000998,0.0026728783241764583,"0.10524301569077689,0.11421911421911426,0.1351751356684755",0.0023161551823971714,"-0.14597613607514598,-0.11234487263226653,-0.11125654450261788"
sz000049,0.0025983904561962755,"0.11607142857142848,0.12427745664739889,0.12576687116564408",0.00694444444444442,"-0.12651265126512656,-0.120162932790224,-0.11285266457680247"
sz002161,0.0025030283715261454,"0.10331905781584581,0.11374911410347262,0.12157153446997768",0.004055046547280309,"-0.20968356843309188,-0.1008089607965153,-0.09620523784072692"
sz000895,0.0024560375911223094,"0.06948228882833779,0.0711656441717791,0.0771084337349397",0.004403669724770679,"-0.1111111111111111,-0.10520023909145236,-0.09401709401709402"
sz000798,0.002251300691713181,"0.11470113085621969,0.11829652996845426,0.13590263691683568",0.006776225012455021,"-0.1210762331838565,-0.11550632911392397,-0.1146788990825688"
sz002038,0.0021786547080066836,"0.10427248282043627,0.11399711399711399,0.1537931034482759",0.0031456432840516334,"-0.10104475284578207,-0.08983050847457623,-0.08373590982286627"
sz002007,0.002155761459692802,"0.08006863025450378,0.08669001751313472,0.09815110705318414",0.0030232558139533824,"-0.07671957671957669,-0.0764166470726546,-0.07377049180327858"
sz002200,0.002045557104004333,"0.09346285114203208,0.09757002411426448,0.10549812030075176",0.005609756097560899,"-0.1897568165070007,-0.1313479623824451,-0.11139383658467643"
sz002153,0.0020002233065869795,"0.0835088518244435,0.08742046659597029,0.08930425752855654",0.0011111111111110875,"-0.12265659061182964,-0.10777096114519434,-0.08192182410423454"
sz002145,0.0016763717809255582,"0.11487303506650536,0.1475826972010177,0.16071428571428564",0.0033707938882218307,"-0.11111111111111119,-0.11081794195250674,-0.10434782608695646"
sz000759,0.0016459984150590827,"0.08619877531794622,0.09086188992731048,0.09527326440177247",0.0042025456427630045,"-0.11235059760956176,-0.10588235294117644,-0.10119047619047615"
sz002183,0.0016404562453432566,"0.1063829787234043,0.11129660545353368,0.13413768630234213",0.005725550640506601,"-0.10532475131655944,-0.10182491404390376,-0.0966435185185184"
sz000833,0.001601272072382397,"0.10779315367807724,0.10989010989010994,0.11290322580645162",0.003270700619908755,"-0.1262798634812287,-0.11433756805807621,-0.1130841121495328"
sz002035,0.0015674952462057196,"0.11666666666666661,0.11817553559087773,0.12457912457912461",0.0058313498809928225,"-0.11111111111111116,-0.10888888888888894,-0.09865470852017946"
