symbol,avg_real_change,top3_real_change,median_real_change,bottom3_real_change
sz000628,0.010428197568783066,"0.10196494954859277,0.11650485436893214,0.11804613297150612",0.01414427157001422,"-0.12328767123287668,-0.10709987966305641,-0.10287241148964602"
sz000722,0.009535889074536688,"0.09248554913294793,0.10122699386503056,0.10505836575875481",0.010211529187899943,"-0.11403508771929835,-0.10801963993453356,-0.08671328671328672"
sz000586,0.00927329322029456,"0.09969788519637464,0.10678210678210669,0.10926365795724464",0.012709030100334416,"-0.13670133729569092,-0.11344211344211351,-0.11111111111111106"
sz000056,0.009189829850420942,"0.09732360097323595,0.11945392491467566,0.12711864406779666",0.008738036157390962,"-0.11475409836065581,-0.10210696920583467,-0.09423347398030942"
sz000802,0.00877260391585675,"0.09075630252100846,0.09352517985611503,0.10278578290105671",0.010331995038081377,"-0.11161524500907445,-0.10975609756097567,-0.09018036072144274"
sz000565,0.008496630207929337,"0.1033966033966034,0.12704045422285304,0.12989045383411582",0.00916310323762994,"-0.11756569847856149,-0.11157455683003131,-0.11062335381913957"
sz000404,0.00847113878485877,"0.11137440758293844,0.11353711790393023,0.11846689895470379",0.011947431302269971,"-0.11795774647887323,-0.1174603174603175,-0.11533586818757935"
sz000960,0.008237887020278866,"0.09357504665422549,0.09413854351687388,0.09500409500409496",0.006152849740932569,"-0.1420895522388059,-0.10707070707070718,-0.08695652173913043"
sz000968,0.00808363349528321,"0.10132013201320132,0.11273792093704253,0.14522821576763484",0.009352517985611567,"-0.12445604873803305,-0.11837327523602026,-0.11258278145695359"
sz000553,0.007943688833071089,"0.09957627118644063,0.11242603550295856,0.11359724612736649",0.005880057689268164,"-0.15983606557377056,-0.1262798634812286,-0.11366120218579225"
sz000070,0.007839729774683946,"0.09880749574105623,0.10492107706592377,0.11060948081264103",0.008695652173913052,"-0.11129568106312292,-0.11044417767106841,-0.11010830324909752"
sz000719,0.007805478209111581,"0.0894472361809044,0.09450830140485315,0.09563409563409564",0.0060606060606061465,"-0.07532467532467521,-0.06097560975609765,-0.06097560975609757"
sz000803,0.007479109890603835,"0.10020876826722347,0.10437710437710439,0.12172573189522343",0.009249743062692687,"-0.13432835820895517,-0.12166859791425247,-0.11090573012938995"
sz000818,0.007304845781018564,"0.10430622009569378,0.1210084033613445,0.13684210526315796",0.010700389105058484,"-0.11155378486055763,-0.10619469026548668,-0.102787456445993"
sz000498,0.007081889369000661,"0.0946859903381643,0.09509202453987718,0.09652509652509653",0.0022004029653622846,"-0.10597302504816951,-0.08247422680412378,-0.08240534521158131"
sz002001,0.007081293740978647,"0.10121457489878542,0.10295566502463054,0.10515672396359968",0.009612496245118663,"-0.12671232876712343,-0.12030075187969921,-0.1113610798650169"
sz002005,0.007014582883163294,"0.09664429530201339,0.09732142857142856,0.10477657935285063",0.008834327113876012,"-0.11507293354943274,-0.11111111111111122,-0.11111111111111098"
sz000856,0.007013076172918591,"0.10169491525423731,0.10348468848996836,0.1216617210682493",0.0107526881720431,"-0.11458333333333333,-0.10105263157894746,-0.0901360544217686"
sz000546,0.006789198036458486,"0.11086717892425904,0.11283376399655459,0.1370839936608557",0.00931677018633548,"-0.11061552185548602,-0.1002004008016032,-0.09963985594237695"
sz000034,0.0067718092057329395,"0.07284768211920531,0.08093278463648831,0.09369369369369362",0.0013792009853542575,"-0.09967497291440952,-0.09215017064846416,-0.08695652173913052"
sz000983,0.006766942068772191,"0.10007358351729222,0.11503141614306422,0.12057044079515986",0.004234606562485584,"-0.12437524029219528,-0.11851851851851862,-0.11600207146556199"
sz000791,0.0066563056191554625,"0.10000000000000003,0.11976549413735342,0.1263940520446097",0.01059579244969242,"-0.11570247933884296,-0.11142857142857134,-0.11111111111111115"
sz000683,0.006582803443645713,"0.09821428571428568,0.10043668122270731,0.11544381734222679",0.0077669902912621425,"-0.11538461538461546,-0.1122144985104269,-0.10111111111111112"
sz000755,0.006514943470095496,"0.09469350411710889,0.09588644264194665,0.09825870646766159",0.006263982102908302,"-0.13018597997138773,-0.10615521855486168,-0.09151193633952255"
sz000952,0.006494771250747536,"0.10596409959467284,0.10885167464114827,0.12084592145015102",0.008278185331486505,"-0.11779661016949142,-0.109979633401222,-0.10161901481226315"
