symbol,avg_real_change,top3_real_change,median_real_change,bottom3_real_change
sh600199,0.009626122367883292,"0.11059907834101382,0.12109375000000001,0.12551724137931036",0.005424954792043445,"-0.08882521489971335,-0.07913306451612905,-0.07804878048780495"
sh600559,0.008871938525651601,"0.11038251366120216,0.1147704590818363,0.11534216335540838",0.004444444444444481,"-0.11050394656952037,-0.0902985074626865,-0.06438467807660955"
sh600127,0.008699858274277942,"0.13345195729537365,0.1666666666666666,0.18199419167473385",0.00484261501210665,"-0.13418530351437696,-0.08825674690007286,-0.0873786407766989"
sh603976,0.008246114541314168,"0.1173986486486487,0.1335784313725491,0.1413116970926302",0.004734101309767985,"-0.14214246873300698,-0.11715481171548121,-0.10490196078431364"
sh603919,0.00815418092150361,"0.1024165707710012,0.11167964404894333,0.12128574098299387",0.007499838110304373,"-0.12523364485981314,-0.10217263652378146,-0.0893470790378006"
sh600988,0.007558587141441781,"0.08902333621434755,0.0920162381596752,0.11157601115760105",0.006469002695417652,"-0.11817636472705473,-0.11462450592885377,-0.07954545454545467"
sh600809,0.007437061678742532,"0.07658314350797267,0.0839132811076698,0.09084556254367583",0.0037649743297204596,"-0.09535061949163352,-0.06517116290705914,-0.05679096818337329"
sh600121,0.007115391725407264,"0.1060606060606061,0.1113360323886641,0.144542772861357",0.0,"-0.13242009132420093,-0.09656652360515006,-0.08030112923462972"
sh600616,0.007060692578212189,"0.10967741935483867,0.11505922165820638,0.11732456140350862",0.0044052863436122415,"-0.0942622950819672,-0.08082706766917287,-0.05114638447971782"
sh600313,0.006922571088575978,"0.10913140311804014,0.12979351032448375,0.135036496350365",0.004950495049504845,"-0.10738255033557041,-0.09491525423728807,-0.08307692307692308"
sh603185,0.006765846459668252,"0.09205776173285195,0.09683794466403155,0.1188344210047049",0.004896817068905232,"-0.12165411123577502,-0.11562782294489606,-0.09775678866587958"
sh600371,0.006565652379910688,"0.10638297872340426,0.10697674418604657,0.10896196002578978",0.004441154700222095,"-0.08445642407906553,-0.07974756167527255,-0.0719895287958115"
sh600359,0.0061649624441919276,"0.10471204188481674,0.11095890410958899,0.1179828734538535",0.004324324324324424,"-0.093235831809872,-0.089613034623218,-0.08503937007874017"
sh600316,0.006030014821191719,"0.10041332360807202,0.10112359550561806,0.12575177692728262",0.0036310820624546633,"-0.1864168618266979,-0.11121076233183852,-0.0807888040712469"
sh603198,0.00597717979728281,"0.0889352818371607,0.10111011101110104,0.1193824097049904",0.00388915896937279,"-0.09589460784313733,-0.09219269102990044,-0.06499133448873484"
sh603129,0.0058846450360942135,"0.09098908834917285,0.09334337025486619,0.09634693441572324",0.002847419959719401,"-0.10779952550415178,-0.09826726798006172,-0.09642581640524556"
sh600189,0.005705799726598836,"0.10139860139860142,0.10946196660482373,0.1096256684491979",0.0030959752321980762,"-0.12794612794612806,-0.10451045104510444,-0.09803921568627454"
sh600882,0.005693422239027949,"0.09068010075566754,0.09918879056047201,0.10461373390557936",0.0022414293711052954,"-0.10859158478206103,-0.06753623188405793,-0.06676923076923082"
sh601633,0.00568035337833768,"0.08905764584052463,0.09044030146767146,0.10097719869706834",0.0011990407673860657,"-0.10314960629921265,-0.07900943396226413,-0.058444022770398445"
sh603027,0.0055893367204249405,"0.07960848287112554,0.08720433171843836,0.09182137481184136",0.003446447507953408,"-0.11124366239188777,-0.0849878934624697,-0.0708446866485014"
sh603655,0.005565867458738289,"0.09090909090909083,0.11597845601436267,0.15137541739545243",0.002999999999999936,"-0.14213197969543154,-0.13697219361482987,-0.12505768343331797"
sh600197,0.005475190078310245,"0.09184993531694706,0.09858074415036441,0.10861865407319962",0.003541076487252175,"-0.09764150943396228,-0.08269394714407492,-0.08059210526315784"
sh600598,0.005171321323521244,"0.09509918319719947,0.1007326007326007,0.11349899261249169",0.0028116213683223395,"-0.08713692946058105,-0.07677356656948503,-0.06704824202780037"
sh600543,0.005121222646089263,"0.11097852028639624,0.12195121951219512,0.12859712230215825",0.0016638935108154202,"-0.12597656249999992,-0.07969924812030064,-0.07758620689655178"
sh600765,0.005109413191919651,"0.09511889862327907,0.10087424344317418,0.1081782778018174",0.001931434089811644,"-0.11887608069164254,-0.09415584415584406,-0.07974137931034486"
sh600540,0.005070659059310092,"0.09682299546142217,0.0981067125645438,0.09867172675521814",0.004566210045662206,"-0.08085808580858089,-0.07707509881422919,-0.06648199445983385"
sh603696,0.005047907990973056,"0.09861751152073736,0.10703043022035673,0.10818546078992552",0.002522068095838534,"-0.11071682044002842,-0.09025506867233503,-0.0884016973125884"
sh603005,0.0049915953131239215,"0.10739059689988872,0.11430943814004989,0.1174393975052954",0.005726256983240177,"-0.1176355259288305,-0.11088999447208403,-0.10226576852418853"
sh600305,0.004982200842864685,"0.06493506493506494,0.07472660996354791,0.08005427408412481",0.004422604422604415,"-0.09090909090909075,-0.054891304347825985,-0.04908256880733946"
sh601579,0.004981386190709395,"0.10647010647010638,0.10682492581602375,0.11829537105069798",0.0,"-0.07692307692307704,-0.07029478458049877,-0.05576208178438659"
sh600336,0.004979800948281674,"0.09210526315789473,0.09381443298969075,0.10878112712975099",0.004914004914004809,"-0.08660130718954252,-0.08647798742138361,-0.0844017094017095"
sh600861,0.004951060505777347,"0.0970614425645592,0.0973828362751065,0.10815939278937388",0.003764115432873306,"-0.11989924433249365,-0.1111111111111111,-0.1104933981931897"
sh603267,0.004919899734074863,"0.0824033022473627,0.08459893048128339,0.0885895080628699",0.0035010940919036455,"-0.1005947323704332,-0.08809257185516982,-0.07972329326377849"
sh603078,0.004904131362350531,"0.10264974393230905,0.10764662212323689,0.13181818181818175",0.003985122210414415,"-0.09495718363463372,-0.09112050739957722,-0.07649938800489596"
sh600862,0.004842006835032301,"0.07619047619047625,0.07709750566893431,0.08146300914380704",0.0035587188612100995,"-0.10792264504054899,-0.0803831736776343,-0.07089829250185598"
sh600300,0.004761773142440555,"0.09448818897637803,0.0997920997920997,0.1362007168458781",0.0,"-0.08951965065502186,-0.0791139240506329,-0.0630841121495326"
sh600779,0.00474491168656517,"0.08780487804878058,0.08966546449446579,0.09155996144843717",0.004631578947368546,"-0.13920798065296242,-0.0898179366149696,-0.05810171496156109"
sh688202,0.004658690124306049,"0.09184549356223178,0.09650625107038872,0.1343766166580445",0.008308605341246156,"-0.1349339413855543,-0.12492187500000007,-0.11948755851194878"
sh603589,0.004638049275734664,"0.06157635467980295,0.06338028169014087,0.08423569118267465",0.004018264840182628,"-0.08632955200922904,-0.0749206349206349,-0.07001258653241037"
sh600191,0.004597870604175164,"0.12422360248447215,0.12547528517110257,0.13650306748466254",0.0018903591682419257,"-0.08435582822085888,-0.07407407407407407,-0.07034220532319377"
sh600763,0.00458627630420841,"0.05583620188653945,0.05704832564668135,0.057756844274359745",0.0047946300143839205,"-0.0801850424055513,-0.07118249534450648,-0.0615853658536585"
sh600609,0.004565837462647166,"0.10023866348448685,0.11336898395721931,0.15445026178010468",0.0035714285714287066,"-0.08965517241379303,-0.08604206500956026,-0.0830945558739255"
sh600600,0.004560109364014047,"0.05672149744753261,0.05782399188435205,0.05902951475737868",0.005619380619380655,"-0.10600435283574448,-0.10110272780034815,-0.09249084249084247"
sh601890,0.00454323191094649,"0.08179012345679015,0.09591194968553464,0.10465116279069774",0.003539823008849639,"-0.09302325581395357,-0.07590759075907591,-0.06065088757396452"
sh600257,0.004528233035632089,"0.10375670840787121,0.10624999999999996,0.11411411411411408",0.0026525198938991477,"-0.13383838383838378,-0.09251968503937003,-0.07674943566591419"
sh600391,0.004515006656693488,"0.08657664813343922,0.10349402919062362,0.11403508771929831",0.0027173913043476716,"-0.07741935483870975,-0.07344110854503463,-0.06470588235294127"
sh688122,0.00450994716051812,"0.10415754923413577,0.10998271391529825,0.1469857755701061",0.005800464037122846,"-0.1148426944605289,-0.09943661971830989,-0.09924623115577898"
sh603187,0.004509281297952254,"0.08137679507636199,0.08251514518487577,0.09117361784675065",0.0023577954612436867,"-0.1143445789338142,-0.06666666666666665,-0.06607846818096481"
sh600702,0.004467729367763393,"0.07684165961049963,0.08658536585365846,0.09228278467350247",0.0034952139607903852,"-0.09327217125382253,-0.08095649668683362,-0.07869425823375097"
sh600006,0.004447873246622116,"0.09151785714285716,0.10754017305315205,0.13595505617977527",0.00204081632653075,"-0.06609808102345407,-0.048062015503876045,-0.04709576138147578"
sh601100,0.004416170807300858,"0.06275229357798168,0.06588154975251748,0.09589041095890406",0.0026221229484315435,"-0.08800000000000006,-0.07616025386751296,-0.06267902274641965"
sh603223,0.004379868840319509,"0.10462471569370728,0.12481751824817525,0.16303219106957426",0.0017523364485981972,"-0.08846761453396518,-0.07282608695652174,-0.06637168141592903"
sh601606,0.004341728235059578,"0.08387864366448533,0.08783783783783777,0.0892193308550185",0.004052684903748647,"-0.1016839378238341,-0.08712715855572994,-0.06412103746397699"
sh600573,0.004325643500549547,"0.10386029411764712,0.106764466177669,0.11088911088911084",0.0033726812816188153,"-0.1637860082304527,-0.09840098400983996,-0.0733333333333333"
sh600467,0.004260623318568021,"0.0903010033444816,0.09523809523809516,0.09523809523809533",0.003412969283276529,"-0.18092105263157904,-0.0637450199203188,-0.05839416058394165"
sh600059,0.004253361197329886,"0.09946236559139787,0.100361663652803,0.10144927536231885",0.0011547344110854256,"-0.08291708291708293,-0.0725075528700907,-0.05154639175257722"
sh601908,0.00424679644010236,"0.09444444444444453,0.10784313725490194,0.11267605633802814",0.002976190476190545,"-0.0986238532110091,-0.0843230403800476,-0.08101265822784817"
sh601952,0.004194651357785334,"0.09723461195361298,0.09957924263674614,0.12751677852348992",0.002092050209204976,"-0.07573964497041427,-0.07505518763796906,-0.07481296758104734"
sh603345,0.004165753182006415,"0.07398781798638486,0.07678160919540238,0.08058191018342827",0.004313562836997182,"-0.06868663856931315,-0.0590654205607476,-0.05885178957482591"
sh601888,0.00414631648870322,"0.10054234459741342,0.10165680473372785,0.10238922867074408",0.0037892678156704837,"-0.11549566891241575,-0.11116959064327481,-0.10491835337831236"
sh603486,0.004103046264744982,"0.09148700939745723,0.10102960102960094,0.1026720882950915",0.0005030181086518114,"-0.08177617038376532,-0.0807005494505495,-0.07853403141361266"
sh600238,0.00407210166393057,"0.061630218687872856,0.062415196743554946,0.08901515151515163",0.00214592274678107,"-0.09751773049645387,-0.09259259259259252,-0.054474708171206275"
sh600108,0.003934046284242924,"0.09512195121951213,0.09638554216867466,0.1096256684491979",0.0030959752321980762,"-0.07189542483660122,-0.0666666666666666,-0.06534090909090909"
