date,symbols,count
2020-03-20,"sh600004,sh600583,sh600885,sh601127,sh601138,sh601808,sh601899,sh603035,sh603121,sh603348,sh603885,sh603948,sh603993,sh603997,sz000725,sz002537,sz002659,sz002716,sz300703",19
2020-03-24,"sh600316,sh600338,sh600583,sh600599,sh600602,sh600742,sh600885,sh601127,sh601138,sh603035,sh603121,sh603348,sh603486,sh603659,sh603727,sh603885,sh603993,sh603997,sh688051,sh688186,sz000050,sz002008,sz002050,sz002086,sz002537,sz002655,sz300035,sz300061,sz300264,sz300409,sz300432,sz300643,sz300703,sz300766,sz300772,sz300797",36
2020-03-25,"sh600438,sh600584,sh603308,sh603313,sh603396,sh603596,sh603660,sh603920,sh688098,sh688100,sz000100,sz000725,sz002079,sz002172,sz002180,sz002832,sz002866,sz300596,sz300793",19
2020-03-27,sh600438,1
2020-03-30,"bj836675,sh603948,sz000595",3
2020-03-31,"bj835670,sh600338,sh600583,sh603181,sh603303,sh603505,sh603993,sz002079,sz300061,sz300458,sz300537,sz300643",12
2020-04-01,"sh600438,sh600584,sh600742,sh601127,sh603297,sh603366,sh603396,sh603596,sh603660,sh603727,sh688020,sh688028,sh688098,sh688186,sh688333,sh688369,sz000338,sz000725,sz002008,sz002036,sz002180,sz002346,sz002512,sz002655,sz002708,sz002716,sz002855,sz002881,sz002920,sz002966,sz300035,sz300100,sz300139,sz300173,sz300221,sz300264,sz300323,sz300384,sz300432,sz300459,sz300460,sz300568,sz300632,sz300657,sz300689,sz300793",46
2020-04-02,"sh600004,sh600083,sh600212,sh600599,sh600732,sh600734,sh603313,sh603612,sh603662,sh603915,sh688100,sz000066,sz000595,sz000892,sz002090,sz002172,sz002175,sz002416,sz002537,sz002707,sz002835,sz002861,sz002866,sz002961,sz300052,sz300256,sz300277,sz300348,sz300426,sz300582,sz300637,sz300656,sz300703,sz300707,sz300740",35
2020-04-03,sz002716,1
2020-04-07,"sh600083,sh600599,sh600734,sh600742,sh600860,sh603313,sh603612,sh688189,sz000509,sz000595",10
2020-04-08,bj836675,1
2020-04-09,"sh600083,sh600734",2
2020-04-14,"sh600171,sh600278,sh600330,sh600438,sh600460,sh600584,sh600626,sh600641,sh600682,sh600732,sh600742,sh600933,sh601860,sh601999,sh603068,sh603158,sh603203,sh603260,sh603297,sh603313,sh603337,sh603399,sh603421,sh603516,sh603558,sh603612,sh603681,sh603927,sh688001,sh688039,sh688078,sh688099,sh688100,sh688118,sh688123,sh688268,sh688288,sh688368,sz000536,sz000681,sz000725,sz000969,sz002027,sz002036,sz002058,sz002121,sz002153,sz002189,sz002190,sz002256,sz002268,sz002273,sz002319,sz002368,sz002456,sz002500,sz002600,sz002635,sz002656,sz002681,sz002739,sz002958,sz300004,sz300052,sz300118,sz300121,sz300270,sz300279,sz300296,sz300306,sz300415,sz300438,sz300450,sz300456,sz300487,sz300513,sz300537,sz300542,sz300546,sz300590,sz300604,sz300637,sz300642,sz300667,sz300679,sz300691,sz300740,sz300745,sz300751,sz300789,sz300793,sz300797,sz300806,sz300810",94
2020-04-15,"sh600158,sh603885,sh688006,sh688036,sh688189,sz002086,sz002449,sz300081,sz300461,sz300689,sz300752",11
2020-04-16,"sh600060,sh601860,sh603069,sh603222,sh603297,sh603486,sz000892,sz300004,sz300079,sz300096,sz300173,sz300270,sz300537,sz300546",14
2020-04-17,"sh603068,sh603337,sh688006,sh688036,sh688039,sz000026,sz000066,sz000820,sz000890,sz002190,sz002319,sz002500,sz300071,sz300121,sz300288,sz300296,sz300306,sz300415,sz300461,sz300679,sz300806,sz300810",22
2020-04-20,"sh603612,sh688005,sz000536,sz000969,sz002189,sz002256,sz002315,sz002957,sz300004,sz300081,sz300173,sz300264,sz300279,sz300459,sz300464,sz300514,sz300749,sz300797",18
2020-04-21,"sh601860,sh603948,sh688189,sz000523,sz002210,sz002291,sz002354,sz300071,sz300152,sz300370",10
2020-04-22,"sh600212,sh603297,sh603337,sh603389,sh603612,sh603808,sh603839,sh688006,sh688036,sz000727,sz000890,sz000892,sz000969,sz002052,sz002449,sz002535,sz002679,sz002681,sz002855,sz300004,sz300072,sz300264,sz300269,sz300301,sz300306,sz300464,sz300508,sz300570,sz300797,sz300806",30
2020-04-23,"sh603399,sh688005,sz000521,sz300121,sz300191",5
2020-04-24,"sz002210,sz300806",2
2020-04-27,"sh600592,sh600654,sh600831,sh603078,sz002192,sz002346,sz002685,sz002813,sz300071,sz300115,sz300121,sz300152,sz300264,sz300450,sz300464",15
